,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.005,0.0099,0.01,0.005,0,0.0149,0.005,0.0197,0.01,0.0197,0.0245,0.0197,0.0101,0.0291,0.0149,0.005,0.0245,0.0149,0.0197,0.0101,0.01,0.034,0.0197,0.005,0.0197,0.0196,0.0244,0.0149,0.0338,0.0196
edgeR,0.0431,0.0338,0.0385,0.0291,0.0338,0.0148,0.0431,0.0431,0.061,0.0476,0.0338,0.0433,0.0149,0.0476,0.0338,0.0521,0.0698,0.0431,0.0476,0.0385,0.0569,0.0654,0.0385,0.0476,0.0338,0.0244,0.0476,0.0338,0.0338,0.0431
DESeq2,0.0654,0.0385,0.0478,0.061,0.0431,0.0338,0.0431,0.0521,0.0909,0.0698,0.0654,0.0478,0.0245,0.0698,0.0476,0.0613,0.0783,0.0478,0.0741,0.0701,0.0657,0.095,0.0476,0.0657,0.0521,0.0291,0.0431,0.0521,0.0566,0.0431
voom,0.0245,0.0385,0.0293,0.034,0.034,0.0245,0.0338,0.0293,0.0698,0.0431,0.0521,0.0433,0.0197,0.0476,0.0476,0.0386,0.0701,0.0433,0.0566,0.0526,0.034,0.0566,0.0338,0.0478,0.0386,0.0338,0.0431,0.0385,0.0566,0.0338
tweeDEseq,0.0783,0.0476,0.0566,0.061,0.0478,0.0338,0.0476,0.0338,0.095,0.0654,0.0566,0.0524,0.0197,0.061,0.0657,0.0433,0.0701,0.0521,0.0741,0.0704,0.0613,0.0826,0.0698,0.0613,0.0521,0.0291,0.0431,0.0476,0.0566,0.0431
ALDEx2,0.034,0.0386,0.0296,0.0199,0.0341,0.0201,0.034,0.0245,0.0341,0.0388,0.0386,0.0197,0.0199,0.034,0.0392,0.0293,0.0294,0.0343,0.0199,0.0249,0.0198,0.0524,0.0347,0.0201,0.025,0.0099,0.0431,0.0246,0.0613,0.0245
NOISeq,0,0,0.0104,0.0054,0,0,0,0,0,0,0.0155,0,0,0.0053,0,0,0.0052,0,0.0052,0.0052,0.0051,0.0052,0,0,0.0053,0,0,0,0,0.0051
DSS,0.0868,0.061,0.0698,0.0826,0.0566,0.0431,0.0521,0.0826,0.1228,0.0741,0.0783,0.0524,0.0524,0.0909,0.0741,0.0913,0.0868,0.0654,0.1031,0.0826,0.0829,0.0991,0.061,0.0872,0.0698,0.0476,0.061,0.095,0.0654,0.061
dearseq,0.0698,0.0521,0.0654,0.0654,0.0478,0.0385,0.0476,0.0385,0.0991,0.0654,0.0741,0.0569,0.034,0.061,0.0698,0.0524,0.0783,0.0566,0.0826,0.0791,0.0613,0.0909,0.0698,0.0657,0.061,0.0338,0.0431,0.0521,0.0654,0.0476
Wilcoxon,0.0566,0.0385,0.034,0.0431,0.0293,0.0291,0.0338,0.0338,0.0826,0.0566,0.0476,0.0197,0.0245,0.0385,0.0435,0.0245,0.0654,0.0433,0.0654,0.0435,0.0386,0.0698,0.0291,0.0388,0.0385,0.0291,0.0338,0.0566,0.0476,0.0338
