"","simu1","simu2","simu3","simu4","simu5","simu6","simu7","simu8","simu9","simu10","simu11","simu12","simu13","simu14","simu15","simu16","simu17","simu18","simu19","simu20","simu21","simu22","simu23","simu24","simu25","simu26","simu27","simu28","simu29","simu30"
"SIEVE",0.005,0.0293,0.01,0,0.0196,0.0099,0.01,0.0148,0.0291,0.0099,0.0149,0,0.01,0.005,0.0099,0.0101,0.0099,0.0148,0.0196,0.0149,0.0197,0.0148,0.01,0.0149,0.0148,0.01,0.0148,0.0244,0.005,0.005
"edgeR",0.0196,0.0521,0.0476,0.0385,0.0521,0.0338,0.061,0.0783,0.0783,0.0385,0.0521,0.0196,0.0385,0.0431,0.0476,0.0526,0.061,0.0566,0.0783,0.061,0.0521,0.0521,0.0566,0.0431,0.0338,0.0521,0.0654,0.0521,0.0291,0.0244
"DESeq2",0.0385,0.0566,0.0385,0.0431,0.0698,0.0244,0.0566,0.0783,0.0826,0.0338,0.061,0.0338,0.0566,0.0566,0.0566,0.0435,0.0385,0.0566,0.0783,0.0476,0.0521,0.0566,0.0566,0.0478,0.0148,0.0524,0.0826,0.0338,0.0291,0.0385
"voom",0.0293,0.0654,0.0149,0.0338,0.0654,0.0148,0.0741,0.0654,0.0826,0.0244,0.0293,0.0338,0.0521,0.0435,0.0476,0.0343,0.0244,0.0476,0.0868,0.0478,0.0478,0.0698,0.0476,0.0386,0.0196,0.034,0.0566,0.0338,0.0291,0.0431
"tweeDEseq",0.0244,0.0521,0.0385,0.0431,0.061,0.0196,0.061,0.0654,0.0783,0.0291,0.0431,0.0431,0.0566,0.0521,0.0521,0.0435,0.0338,0.0338,0.0741,0.0521,0.0521,0.0566,0.0476,0.0385,0.0196,0.0521,0.0783,0.0431,0.0196,0.0431
"ALDEx2",0.0149,0.0478,0.0433,0.0338,0.0566,0.0099,0.0478,0.0476,0.0476,0.0197,0.0293,0.0347,0.034,0.0296,0.0291,0.0297,0.0291,0.0338,0.0293,0.01,0.0388,0.0338,0.0478,0.0388,0.01,0.0478,0.0521,0.0338,0.0148,0.0244
"NOISeq",0,0,0,0,0,0,0,0,0.005,0.005,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0
"DSS",0.0521,0.0741,0.0476,0.0741,0.0741,0.0476,0.0741,0.095,0.0868,0.0521,0.0698,0.0431,0.0654,0.061,0.0783,0.066,0.0476,0.0741,0.0783,0.0826,0.0698,0.0783,0.0654,0.0569,0.0244,0.0657,0.0826,0.0385,0.0385,0.0566
"dearseq",0.0291,0.0476,0.0476,0.0476,0.0654,0.0196,0.0654,0.0741,0.0783,0.0338,0.0476,0.0431,0.061,0.0566,0.0566,0.0481,0.0338,0.0385,0.0741,0.0521,0.0521,0.0566,0.0476,0.0431,0.0196,0.0521,0.0741,0.0431,0.0196,0.0476
"Wilcoxon",0.0148,0.0566,0.0431,0.0431,0.0654,0.0148,0.0521,0.0654,0.0868,0.0385,0.0244,0.0291,0.0385,0.0385,0.0476,0.0294,0.0148,0.0476,0.0741,0.0385,0.0476,0.0566,0.0431,0.0386,0.0244,0.0291,0.0566,0.0476,0.0244,0.0385
