"","simu1","simu2","simu3","simu4","simu5","simu6","simu7","simu8","simu9","simu10","simu11","simu12","simu13","simu14","simu15","simu16","simu17","simu18","simu19","simu20","simu21","simu22","simu23","simu24","simu25","simu26","simu27","simu28","simu29","simu30"
"SIEVE",32.31,32.2,32.17,32.17,31.94,31.81,32.15,32.37,32.52,32.39,32.05,32,32.07,32.76,32.44,31.67,31.72,32.11,32.06,32.02,31.6,32.12,32.39,32.23,32.22,31.68,31.65,32.39,34.39,32.81
"edgeR",1.65,1.64,1.65,1.64,1.64,1.64,1.64,1.64,1.65,1.65,1.64,1.65,1.66,1.63,1.62,1.6,1.6,1.6,1.62,1.6,1.6,1.62,1.64,1.65,1.67,1.6,1.6,1.64,1.61,1.61
"DESeq2",4.99,5.01,5.02,5.02,5.03,5.01,5.04,5,5,5.02,5.06,5.01,5.02,5.02,5.04,5.02,5.03,5.02,5.01,5.03,5.01,5.02,5.03,5.01,5.01,5,5.01,5.01,5.02,5.01
"voom",1.9,1.92,1.92,1.91,1.9,1.9,1.91,1.9,1.91,1.9,1.91,1.9,1.93,1.9,1.9,1.87,1.89,1.85,1.9,1.88,1.89,1.9,1.92,1.9,1.91,1.88,1.85,1.87,1.86,1.86
"tweeDEseq",592.66,601.74,604.98,624.45,614.92,590.29,621.2,602.63,619.2,561.59,613.43,602.91,657.18,581.57,604.34,629.47,638.74,644.26,644.28,594.15,607.84,581.51,578.78,666.09,629.3,579.47,578.92,621.08,636,560.64
"ALDEx2",47.52,45.97,45.99,45.45,46.17,45.08,45.07,46.21,45.08,45.64,45.41,45.39,45.62,45.61,45,44.51,44.72,46.07,44.93,45.02,44.82,45.99,45.48,45.81,44.52,44.57,44.87,44.64,44.96,44.99
"NOISeq",11.87,11.47,11.44,11.85,11.43,11.45,11.86,11.46,11.45,11.46,11.45,11.88,11.44,11.45,11.41,11.42,11.81,11.44,11.41,11.4,12.25,11.47,11.87,11.43,11.42,11.41,11.41,11.44,11.45,11.42
"DSS",5.05,5.04,5.02,5.03,5.03,5.02,5,5.01,5.02,5,5.02,5,4.97,5.06,4.95,4.94,4.96,4.99,4.95,4.99,5.04,5.06,5,5.09,4.99,4.98,4.97,4.98,4.96,4.98
"dearseq",0.96,0.95,1,0.96,1.05,1,1,0.96,0.96,0.96,1,0.96,1,0.96,0.97,0.99,0.95,0.97,0.95,1,0.96,0.98,1,0.97,0.95,0.99,1,0.96,0.96,0.96
"Wilcoxon",2.79,2.77,2.71,2.76,2.7,2.72,2.77,2.78,2.77,2.74,2.71,2.78,2.69,2.77,2.72,2.68,2.71,2.77,2.72,2.69,2.76,2.77,2.79,2.78,2.73,2.68,2.7,2.7,2.7,2.74
