,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.015,0.0197,0.0149,0.0199,0.0099,0.0099,0.0149,0.0197,0.01,0.0101,0.005,0.0148,0.0196,0.0051,0.0245,0.0198,0,0.0101,0.015,0,0.0198,0.01,0.005,0.0152,0.01,0.0149,0,0.005,0,0.0149
edgeR,0.0149,0.0196,0.0148,0.0291,0.0196,0.0385,0.0291,0.0338,0.0291,0.0385,0.0148,0.0291,0.0476,0.0148,0.0338,0.0338,0.0244,0.0385,0.0338,0.0244,0.0385,0.0338,0.005,0.0244,0.0244,0.0196,0.0244,0.0431,0.0385,0.0431
DESeq2,0.0245,0.0521,0.0385,0.0476,0.0291,0.0476,0.0566,0.0385,0.0476,0.0521,0.0291,0.0476,0.061,0.0431,0.0566,0.0338,0.0385,0.0569,0.0521,0.0338,0.0566,0.0566,0.0291,0.0569,0.0521,0.0385,0.0521,0.061,0.0521,0.0741
voom,0.0296,0.0654,0.0478,0.0698,0.0385,0.0244,0.0245,0.0566,0.0433,0.0483,0.0521,0.0741,0.0385,0.0341,0.0566,0.0478,0.0431,0.0485,0.0613,0.0148,0.0524,0.0385,0.0338,0.0577,0.0386,0.0478,0.0433,0.0431,0.0481,0.061
tweeDEseq,0.0149,0.0521,0.0385,0.0476,0.0385,0.0431,0.0566,0.0431,0.0476,0.0431,0.0244,0.0476,0.0476,0.0291,0.0654,0.0338,0.0431,0.0476,0.0566,0.0291,0.0654,0.0476,0.0291,0.0433,0.0385,0.0385,0.0431,0.0566,0.0521,0.0654
ALDEx2,0.0249,0.0569,0.058,0.067,0.0338,0.0196,0.0248,0.0531,0.0248,0.0392,0.0388,0.0616,0.0388,0.0345,0.0483,0.0435,0.0249,0.0398,0.0625,0.0152,0.0483,0.0531,0.0248,0.058,0.0249,0.0343,0.0392,0.03,0.0574,0.0526
NOISeq,0.0054,0.0152,0,0.0108,0,0.0159,0,0,0,0,0,0.0053,0.0108,0,0.0053,0,0,0.0055,0.016,0,0,0.0052,0.0051,0,0.0055,0,0,0,0,0
DSS,0.0244,0.061,0.0385,0.0521,0.0476,0.061,0.0654,0.0385,0.0431,0.0566,0.0291,0.0521,0.0698,0.0291,0.0566,0.0338,0.0431,0.061,0.0741,0.0385,0.0698,0.0476,0.0291,0.0476,0.0654,0.0291,0.0566,0.0698,0.061,0.0654
dearseq,0.0196,0.0521,0.0338,0.0476,0.0338,0.0521,0.0566,0.0431,0.0521,0.0521,0.0196,0.0566,0.0521,0.0338,0.0698,0.0338,0.0476,0.0476,0.0566,0.0244,0.0654,0.0521,0.0338,0.0569,0.0385,0.0385,0.0476,0.061,0.0521,0.0826
Wilcoxon,0.0246,0.0521,0.0431,0.0476,0.0244,0.0476,0.0244,0.0385,0.0431,0.0338,0.0476,0.061,0.0385,0.0385,0.0698,0.0431,0.0291,0.0291,0.0654,0.0338,0.061,0.0476,0.0338,0.039,0.0385,0.0431,0.0654,0.0385,0.061,0.0741
