,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,36.85,38.05,36.9,36.67,36.28,36.44,36.7,36.5,36.85,36.61,37.18,36.48,37.02,36.76,36.36,36.87,36.34,37.03,36.88,36.74,36.38,36.5,36.7,35.52,35.96,35.67,36.01,36.43,35.5,35.96
edgeR,1.68,1.65,1.66,1.63,1.66,1.64,1.66,1.63,1.66,1.67,1.66,1.65,1.65,1.65,1.63,1.65,1.65,1.65,1.66,1.63,1.66,1.65,1.68,1.61,1.61,1.61,1.64,1.65,1.61,1.61
DESeq2,4.97,5.07,5,5,4.96,4.99,5.01,4.98,4.98,4.99,5,5,5,5.01,5,5.01,5.02,4.99,5,4.99,5,5,4.97,4.93,4.92,4.97,5.1,5,4.98,4.99
voom,1.95,1.92,1.91,1.94,1.94,1.91,1.94,1.91,1.91,1.96,1.9,1.89,1.91,1.91,1.92,1.93,1.94,1.94,1.9,1.91,1.93,1.93,1.92,1.89,1.89,1.87,1.92,1.86,1.87,1.89
tweeDEseq,643.78,653.9,647.05,625.88,622.98,656.65,651.78,650.76,623.21,651.39,628.85,628.19,639.44,630.44,660.77,635.53,668.77,625.64,648.15,612.44,649.34,644.54,629.28,599.1,665.84,651.23,655.98,620.24,632.49,623.23
ALDEx2,48.11,45.56,45.71,46.08,45.39,45.88,45.27,45.27,46.07,45.61,45.6,45.13,45.01,45.35,45.34,45.66,45.49,45.56,45.42,45.42,45.79,45.94,47.59,44.79,45.04,45.31,44.92,44.78,44.53,44.86
NOISeq,11.65,11.64,11.64,11.65,11.64,11.65,11.63,11.69,11.63,11.63,11.64,11.64,11.64,11.64,11.64,11.68,11.64,11.64,11.63,11.64,11.63,11.62,11.53,11.51,11.62,11.62,11.57,11.6,11.59,11.6
DSS,4.7,4.65,4.68,4.71,4.68,4.71,4.67,4.65,4.66,4.64,4.67,4.69,4.7,4.67,4.66,4.65,4.7,4.65,4.68,4.69,4.68,4.68,4.67,4.62,4.6,4.58,4.6,4.62,4.61,4.59
dearseq,1.02,0.96,0.99,0.96,0.96,0.97,0.96,1,1,0.98,0.96,0.97,1.01,0.99,0.96,0.96,1,0.97,0.97,0.98,1,1,0.95,0.95,0.98,0.95,0.95,0.95,0.95,0.95
Wilcoxon,2.87,2.78,2.82,2.76,3.16,2.75,2.78,2.75,2.74,2.84,2.81,2.79,2.75,2.86,2.79,2.79,2.75,2.79,2.8,2.82,2.77,2.77,2.76,2.75,2.73,2.77,2.76,2.74,2.76,3.14
