,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.017,0.0055,0.0106,0.0108,0.0169,0.0056,0,0.0168,0,0.0162,0.016,0,0.0114,0.0115,0,0.0372,0.0215,0.0054,0.0109,0.0111,0.011,0.011,0.0155,0.0055,0,0.0107,0,0,0.0317,0.0053
edgeR,0.016,0.0263,0.0443,0.0352,0.0269,0.016,0.0053,0.0158,0.0053,0.0311,0.0309,0.0402,0.0366,0.0366,0.0352,0.0564,0.0256,0.016,0.0361,0.0107,0.0054,0.0207,0.0539,0.0156,0.0107,0.0156,0.0355,0.02,0.0498,0.0203
DESeq2,0.0368,0.0515,0.0631,0.064,0.0619,0.0263,0.0259,0.0361,0.0265,0.0653,0.0457,0.0591,0.0515,0.0615,0.0693,0.0707,0.0553,0.0415,0.0556,0.0466,0.0109,0.0406,0.0732,0.0361,0.0316,0.0406,0.0857,0.0249,0.0683,0.0493
voom,0.0518,0.0308,0.0303,0.05,0.0423,0.0466,0.0355,0.0415,0.0365,0.07,0.0417,0.0308,0.0321,0.0372,0.0455,0.075,0.0455,0.0306,0.07,0.0366,0.0108,0.0556,0.0766,0.0262,0.0165,0.0205,0.0361,0.0402,0.0606,0.0305
tweeDEseq,0.0368,0.0366,0.0448,0.0545,0.0521,0.0314,0.0158,0.026,0.0158,0.06,0.0314,0.0591,0.0469,0.0466,0.0503,0.066,0.055,0.0365,0.0457,0.0368,0.0109,0.0309,0.0539,0.0156,0.0215,0.0359,0.0547,0.0345,0.0634,0.0443
ALDEx2,0.044,0.0216,0.0255,0.0368,0.0588,0.0328,0.0211,0.0328,0.016,0.0524,0.0319,0.0263,0.0282,0.0281,0.0214,0.0619,0.0471,0.0158,0.0417,0.022,0.0219,0.037,0.0784,0.0428,0.0173,0.0311,0.0466,0.0155,0.0466,0.0316
NOISeq,0.0226,0,0.0065,0.013,0,0.0069,0,0,0.0074,0.0069,0.0132,0.0194,0,0,0.0132,0.0216,0.0141,0,0.0137,0.0139,0.0135,0.0068,0.0282,0,0,0.0065,0.0139,0,0.0068,0
DSS,0.0365,0.0415,0.0583,0.0542,0.066,0.0212,0.0209,0.0361,0.0361,0.0603,0.0457,0.0448,0.0462,0.051,0.0594,0.0746,0.0594,0.0412,0.0505,0.0415,0.0108,0.0455,0.0676,0.0258,0.0417,0.0306,0.0769,0.02,0.0683,0.0441
dearseq,0.0415,0.0417,0.0673,0.0683,0.067,0.0312,0.0158,0.0311,0.0311,0.0697,0.0603,0.0591,0.0466,0.0469,0.069,0.0746,0.0547,0.0366,0.0556,0.0466,0.0108,0.0406,0.0585,0.0357,0.0213,0.0311,0.0817,0.0439,0.0725,0.0537
Wilcoxon,0.0312,0.0406,0.0352,0.055,0.0515,0.0419,0.0206,0.0306,0.0159,0.0606,0.0365,0.0302,0.0368,0.0319,0.04,0.0792,0.055,0.0156,0.0603,0.0159,0.0314,0.0457,0.0631,0.0355,0.0265,0.0256,0.0355,0.02,0.0503,0.0394
