,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,45.25,38.16,41.66,43.6,38.38,43.53,39.93,46.9,47.76,43.92,36.75,39.22,43.12,39.44,40.64,38.9,40.96,37.53,39.68,37.48,37.06,42.54,41.95,40.87,40.93,43.74,38.84,37.35,40.06,41.26
edgeR,0.88,0.89,0.89,0.91,0.89,0.89,0.89,0.89,0.89,0.87,0.88,0.89,0.89,0.88,0.89,0.89,0.88,0.9,0.89,0.88,0.87,0.91,0.87,0.87,0.86,0.88,0.89,0.89,0.91,0.88
DESeq2,3.06,3.06,3.03,3.03,3.04,3.04,3.06,3.05,3.07,3.03,3.03,3.05,3.04,3.01,3.01,3.01,3.01,3.04,3.01,3.04,3.06,3.1,3.07,3.05,3.04,3.04,3.03,3.01,3.01,3.05
voom,1.07,1.07,1.07,1.07,1.06,1.05,1.07,1.08,1.08,1.06,1.07,1.07,1.08,1.06,1.06,1.04,1.05,1.06,1.06,1.04,1.07,1.1,1.04,1.04,1.04,1.05,1.06,1.07,1.05,1.04
tweeDEseq,512.04,535.9,538.77,529.72,525.82,531.9,545.59,548.89,528.65,545.28,516.36,505.31,503.7,518.96,534.5,514.7,546.72,520.99,530.14,539.15,509,523.4,548.85,529.36,539.17,527.29,539.6,524.35,541.8,516.63
ALDEx2,26.61,26.46,26.42,25.68,25.47,25.86,25.83,25.8,26.42,25.73,25.32,25.54,26.07,25.41,25.45,25.38,26.29,25.43,25.56,25.13,25.19,25.88,25.31,25.57,25.24,25.55,26.32,25.49,25.55,25.26
NOISeq,7.54,7.91,7.15,7.17,7.13,7.14,7.15,7.2,7.16,7.14,7.11,7.52,7.12,7.12,7.14,7.52,7.13,7.13,7.15,7.13,7.57,7.14,7.14,7.14,7.11,7.52,7.12,7.13,7.15,7.16
DSS,2.44,2.48,2.47,2.45,2.5,2.49,2.49,2.49,2.46,2.44,2.45,2.48,2.49,2.45,2.48,2.46,2.46,2.45,2.44,2.44,2.46,2.48,2.49,2.44,2.46,2.44,2.49,2.46,2.44,2.45
dearseq,0.51,0.45,0.45,0.5,0.45,0.46,0.45,0.46,0.48,0.44,0.44,0.49,0.49,0.44,0.5,0.49,0.45,0.44,0.49,0.49,0.49,0.44,0.44,0.44,0.44,0.49,0.49,0.46,0.44,0.49
Wilcoxon,1.84,1.88,1.92,1.85,1.85,1.87,1.88,1.96,1.84,1.88,1.88,1.84,1.85,1.87,1.9,1.85,1.89,1.88,1.83,1.83,1.85,1.84,1.84,1.87,1.88,1.84,1.85,1.88,1.9,1.85
