,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0108,0.0104,0.0104,0.016,0.0105,0.0159,0.0052,0.0102,0.0102,0.0051,0.0152,0.0156,0.0052,0.0108,0.0154,0.0052,0.0053,0.0052,0.0052,0,0.0105,0.0052,0.0104,0.0208,0.0105,0,0.0052,0.0104,0,0.0209
edgeR,0.0108,0.0052,0.0052,0,0,0.0212,0.0103,0.0051,0.0051,0,0.0203,0,0.0156,0,0,0.0052,0,0.0052,0,0,0.0052,0.0052,0,0,0.0053,0,0.0052,0,0.0103,0.0105
DESeq2,0.0161,0.0052,0.0052,0,0.0158,0.0265,0.0155,0.0051,0.0051,0.0154,0.0203,0,0.0156,0,0.0051,0.0104,0.0053,0.0155,0,0,0.0052,0.0157,0.0052,0.0052,0.0053,0,0.0157,0.0052,0.0103,0.0157
voom,0.0054,0.0052,0.0052,0.0106,0,0.0106,0.0052,0.0051,0.0102,0.0051,0.0051,0.0052,0,0.0108,0.0103,0,0.0053,0.0052,0,0,0.0052,0,0.0052,0.0156,0.0105,0,0,0.0052,0,0.0052
tweeDEseq,0.0161,0.0052,0.0052,0,0.0105,0.0159,0.0155,0.0051,0.0102,0.0103,0.0203,0,0.0156,0,0.0103,0.0104,0,0.0155,0,0,0.0052,0.0209,0,0.0052,0.0053,0,0.0157,0.0052,0.0103,0.0105
ALDEx2,0.0108,0.0156,0.0208,0.0106,0.0158,0.0159,0.0052,0.0051,0.0153,0.0051,0.0152,0.0156,0.0052,0.0108,0.0154,0.0104,0.0053,0.0052,0.0052,0,0.0157,0.0052,0.0104,0.026,0.0105,0,0,0.0104,0.0052,0.0262
NOISeq,0.0968,0.0938,0.1042,0.1277,0.1263,0.0794,0.1495,0.0914,0.0867,0.0872,0.0964,0.0833,0.1146,0.0538,0.1231,0.0674,0.1,0.1036,0.0984,0.0615,0.0681,0.1204,0.1244,0.1042,0.1,0.0622,0.0785,0.0984,0.067,0.1414
DSS,0.0108,0.0052,0,0,0.0053,0.0212,0.0103,0.0051,0.0051,0,0.0203,0,0.0104,0,0,0.0052,0,0.0104,0,0,0.0052,0.0052,0,0,0.0053,0,0.0052,0,0.0103,0.0105
dearseq,0.0108,0.0052,0,0,0.0053,0.0159,0.0155,0.0051,0.0051,0.0103,0.0203,0,0.0104,0,0.0051,0.0104,0,0.0155,0,0,0,0.0209,0.0052,0.0052,0.0053,0,0.0157,0.0104,0.0103,0.0105
Wilcoxon,0.0054,0.0052,0,0,0,0.0106,0,0.0051,0.0051,0.0051,0,0.0052,0,0.0054,0.0051,0,0,0.0052,0,0,0.0052,0,0,0,0.0053,0,0,0,0,0.0052
