userId	geneSymbol	geneName	entrezgene	gLink
ANKS6	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	203286	https://www.ncbi.nlm.nih.gov/gene/?term=203286
CMTM3	CMTM3	CKLF like MARVEL transmembrane domain containing 3	123920	https://www.ncbi.nlm.nih.gov/gene/?term=123920
DNM2	DNM2	dynamin 2	1785	https://www.ncbi.nlm.nih.gov/gene/?term=1785
TRABD	TRABD	TraB domain containing	80305	https://www.ncbi.nlm.nih.gov/gene/?term=80305
TTC7A	TTC7A	tetratricopeptide repeat domain 7A	57217	https://www.ncbi.nlm.nih.gov/gene/?term=57217
HDAC7	HDAC7	histone deacetylase 7	51564	https://www.ncbi.nlm.nih.gov/gene/?term=51564
NCF4	NCF4	neutrophil cytosolic factor 4	4689	https://www.ncbi.nlm.nih.gov/gene/?term=4689
CATSPERG	CATSPERG	cation channel sperm associated auxiliary subunit gamma	57828	https://www.ncbi.nlm.nih.gov/gene/?term=57828
LLGL2	LLGL2	LLGL scribble cell polarity complex component 2	3993	https://www.ncbi.nlm.nih.gov/gene/?term=3993
TRADD	TRADD	TNFRSF1A associated via death domain	8717	https://www.ncbi.nlm.nih.gov/gene/?term=8717
MBD6	MBD6	methyl-CpG binding domain protein 6	114785	https://www.ncbi.nlm.nih.gov/gene/?term=114785
CYBA	CYBA	cytochrome b-245 alpha chain	1535	https://www.ncbi.nlm.nih.gov/gene/?term=1535
DGCR8	DGCR8	DGCR8, microprocessor complex subunit	54487	https://www.ncbi.nlm.nih.gov/gene/?term=54487
RPS2P46	RPS2P46	ribosomal protein S2 pseudogene 46	125208	https://www.ncbi.nlm.nih.gov/gene/?term=125208
PLXNB1	PLXNB1	plexin B1	5364	https://www.ncbi.nlm.nih.gov/gene/?term=5364
ZSCAN9	ZSCAN9	zinc finger and SCAN domain containing 9	7746	https://www.ncbi.nlm.nih.gov/gene/?term=7746
RNPEPL1	RNPEPL1	arginyl aminopeptidase like 1	57140	https://www.ncbi.nlm.nih.gov/gene/?term=57140
CRLF3	CRLF3	cytokine receptor like factor 3	51379	https://www.ncbi.nlm.nih.gov/gene/?term=51379
CLN3	CLN3	CLN3, battenin	1201	https://www.ncbi.nlm.nih.gov/gene/?term=1201
AGAP2-AS1	AGAP2-AS1	AGAP2 antisense RNA 1	100130776	https://www.ncbi.nlm.nih.gov/gene/?term=100130776
DVL2	DVL2	dishevelled segment polarity protein 2	1856	https://www.ncbi.nlm.nih.gov/gene/?term=1856
CARS2	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	79587	https://www.ncbi.nlm.nih.gov/gene/?term=79587
REEP4	REEP4	receptor accessory protein 4	80346	https://www.ncbi.nlm.nih.gov/gene/?term=80346
RBL1	RBL1	RB transcriptional corepressor like 1	5933	https://www.ncbi.nlm.nih.gov/gene/?term=5933
NEIL1	NEIL1	nei like DNA glycosylase 1	79661	https://www.ncbi.nlm.nih.gov/gene/?term=79661
EGFL8	EGFL8	EGF like domain multiple 8	80864	https://www.ncbi.nlm.nih.gov/gene/?term=80864
RIPOR3	RIPOR3	RIPOR family member 3	140876	https://www.ncbi.nlm.nih.gov/gene/?term=140876
APOC2	APOC2	apolipoprotein C2	344	https://www.ncbi.nlm.nih.gov/gene/?term=344
ALG6	ALG6	ALG6, alpha-1,3-glucosyltransferase	29929	https://www.ncbi.nlm.nih.gov/gene/?term=29929
MICALL1	MICALL1	MICAL like 1	85377	https://www.ncbi.nlm.nih.gov/gene/?term=85377
SPECC1L-ADORA2A	SPECC1L-ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)	101730217	https://www.ncbi.nlm.nih.gov/gene/?term=101730217
ADARB2	ADARB2	adenosine deaminase, RNA specific B2 (inactive)	105	https://www.ncbi.nlm.nih.gov/gene/?term=105
MAN2B1	MAN2B1	mannosidase alpha class 2B member 1	4125	https://www.ncbi.nlm.nih.gov/gene/?term=4125
AFG3L1P	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	172	https://www.ncbi.nlm.nih.gov/gene/?term=172
GCFC2	GCFC2	GC-rich sequence DNA-binding factor 2	6936	https://www.ncbi.nlm.nih.gov/gene/?term=6936
SPACA6	SPACA6	sperm acrosome associated 6	147650	https://www.ncbi.nlm.nih.gov/gene/?term=147650
ASCC2	ASCC2	activating signal cointegrator 1 complex subunit 2	84164	https://www.ncbi.nlm.nih.gov/gene/?term=84164
RPS6KB2	RPS6KB2	ribosomal protein S6 kinase B2	6199	https://www.ncbi.nlm.nih.gov/gene/?term=6199
ZNF572	ZNF572	zinc finger protein 572	137209	https://www.ncbi.nlm.nih.gov/gene/?term=137209
ROM1	ROM1	retinal outer segment membrane protein 1	6094	https://www.ncbi.nlm.nih.gov/gene/?term=6094
C21orf62-AS1	C21orf62-AS1	C21orf62 antisense RNA 1	54067	https://www.ncbi.nlm.nih.gov/gene/?term=54067
BACE1-AS	BACE1-AS	BACE1 antisense RNA	100379571	https://www.ncbi.nlm.nih.gov/gene/?term=100379571
GAL3ST4	GAL3ST4	galactose-3-O-sulfotransferase 4	79690	https://www.ncbi.nlm.nih.gov/gene/?term=79690
GUSB	GUSB	glucuronidase beta	2990	https://www.ncbi.nlm.nih.gov/gene/?term=2990
TSPO	TSPO	translocator protein	706	https://www.ncbi.nlm.nih.gov/gene/?term=706
SLC16A1-AS1	SLC16A1-AS1	SLC16A1 antisense RNA 1	100506392	https://www.ncbi.nlm.nih.gov/gene/?term=100506392
HAVCR2	HAVCR2	hepatitis A virus cellular receptor 2	84868	https://www.ncbi.nlm.nih.gov/gene/?term=84868
PRX	PRX	periaxin	57716	https://www.ncbi.nlm.nih.gov/gene/?term=57716
STXBP2	STXBP2	syntaxin binding protein 2	6813	https://www.ncbi.nlm.nih.gov/gene/?term=6813
DTX2	DTX2	deltex E3 ubiquitin ligase 2	113878	https://www.ncbi.nlm.nih.gov/gene/?term=113878
TULP3	TULP3	tubby like protein 3	7289	https://www.ncbi.nlm.nih.gov/gene/?term=7289
LILRB3	LILRB3	leukocyte immunoglobulin like receptor B3	11025	https://www.ncbi.nlm.nih.gov/gene/?term=11025
C22orf23	C22orf23	chromosome 22 open reading frame 23	84645	https://www.ncbi.nlm.nih.gov/gene/?term=84645
PLP2	PLP2	proteolipid protein 2	5355	https://www.ncbi.nlm.nih.gov/gene/?term=5355
IL3RA	IL3RA	interleukin 3 receptor subunit alpha	3563	https://www.ncbi.nlm.nih.gov/gene/?term=3563
RBCK1	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	10616	https://www.ncbi.nlm.nih.gov/gene/?term=10616
