geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0022610	biological adhesion	http://amigo.geneontology.org/amigo/term/GO:0022610	1377	232	136.41107644305774	1.7007416556590556	0	0	88;90;177;284;285;301;302;306;394;652;677;780;947;960;965;971;977;1000;1003;1009;1192;1266;1277;1281;1288;1292;1293;1294;1295;1307;1308;1399;1435;1462;1463;1465;1500;1524;1545;1605;1832;1842;1843;1896;1901;1947;1956;1969;2050;2064;2113;2192;2195;2213;2239;2241;2302;2316;2335;2534;2633;2736;2889;3043;3384;3479;3481;3575;3600;3625;3636;3654;3655;3671;3672;3674;3678;3685;3688;3693;3696;3707;3717;3730;3791;3875;3909;3913;3915;4026;4072;4091;4155;4239;4287;4289;4323;4478;4582;4604;4739;4811;4860;4921;4958;5175;5290;5318;5411;5465;5578;5590;5592;5879;6279;6280;6281;6347;6423;6591;7007;7010;7041;7042;7045;7048;7059;7060;7094;7130;7148;7373;7402;7414;7430;7448;7525;7704;8038;8082;8174;8189;8379;8406;8502;8515;8516;8639;8654;8826;9071;9124;9158;9231;9314;9369;10205;10395;10417;10451;10457;10461;10516;10562;10580;10611;10627;10630;10631;10892;10979;11093;11117;22801;22915;23022;23075;23384;23657;29766;30835;50512;51148;51330;53841;54361;54510;54751;55604;55742;56103;56107;56121;56128;56129;56130;56131;56144;56288;57007;57045;57126;57608;58494;64065;64129;79625;79633;79812;79834;80725;83872;84059;84168;84623;84962;90102;90952;91624;91653;117583;133584;144100;151887;158326;201294;255743;340485;340706;342035;375033;375567	CX3CR1;MBP;CDHR5;SPON2;HBB;CERCAM;OLFM4;EPCAM;IGF1;MADCAM1;GLDN;VWC2;AGER;VTN;NRXN3;COL7A1;CD72;UNC13D;PKP4;COL17A1;COL16A1;ADAMTS13;TECTA;FREM1;SRCIN1;ACTN2;ITGA2B;PRKCZ;SYMPK;THBS3;PODXL2;KIRREL3;FIBP;PNN;RAC1;MAD1L1;ATXN3;CRKL;SPECC1L;RAPGEF1;CTNND1;PEAK1;DAG1;JAK2;FER;MALT1;CDH11;ITGA11;ACVR1;PIK3CA;PCDHB6;DLC1;FYN;JCAD;ARHGAP5;PCDHB15;PRKCA;CDH2;TWSG1;EFNB1;BOC;FERMT2;IL15;DLG5;CD151;IRAK1;INPPL1;MKLN1;EDA;UTRN;NEXN;LAMA3;SORBS1;CARMIL1;WNT4;DDR1;PRKG1;CSRP1;PLEKHA7;YES1;VCL;SSPN;MSN;ERBB2;THBS4;TLN1;FLNA;PARVA;TMOD3;AOC3;PPARA;ZBTB16;INHBB;NCAN;TNXB;ITGB5;PCDHA4;KDR;TEK;FBLIM1;ITGAV;MMP14;MYL12A;FBLN5;CD58;FAT4;ETS1;TGFB1I1;CNN3;CDH5;ITGA8;SWAP70;ANOS1;NEDD9;ITGB1;EMILIN1;PARD3B;AJUBA;PDLIM5;JAM2;MYBPC1;MERTK;SLC7A11;IQGAP1;PALLD;VAV3;GBP1;CSF1;S1PR1;CLIC1;PNP;DUSP1;TINAGL1;PDPN;ITGB8;EPHB4;PCDHGA9;FAT1;VWA2;GPC4;PERP;S100A10;GPNMB;GLI2;LAMB2;ICAM2;ESAM;LPP;EGFR;ADGRV1;ITGA6;ACKR3;SMAD6;BMP4;PCDHGB2;PCDHB4;MUC1;SNAI2;EZR;SRPX;LAMC1;COL14A1;EPHA2;ITGA1;ISLR;ZFP36L1;ADAM12;PEAR1;PCDHB8;TNFAIP6;FN1;VCAN;NID1;FBLN1;PARD3;PDE5A;ANTXR1;TGFBR2;HMCN1;DDR2;PCDHB7;COL6A2;CD34;CLDN10;FOXJ1;ANXA3;PCDH18;COL4A6;ANXA1;TGFB2;ITPKB;POSTN;EGFLAM;ACER2;CCDC80;PHLDB2;MMRN2;PECAM1;ANXA2;OMD;KLF4;PKP2;ITGA5;ITGA10;TGFBI;PDLIM1;IL7R;KRT18;CD209;ANGPT1;SFRP2;IGF2;TNFRSF12A;MFAP4;ANGPT2;COL1A1;COL6A3;CYP1B1;FCGR2B;CD44;MPZL2;CCL2;COL8A1;ECM2;DSP;S100A8;NDNF;S100A9;COL3A1;NPNT;MMRN1;CD177
GO:0007155	cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	1369	231	135.6185647425897	1.70330662648177	0	0	88;90;177;284;285;301;302;306;394;652;677;780;947;960;965;971;977;1000;1003;1009;1192;1266;1277;1281;1288;1292;1293;1294;1295;1307;1308;1399;1435;1462;1463;1465;1500;1524;1545;1605;1832;1842;1843;1896;1901;1947;1956;1969;2050;2064;2113;2192;2195;2213;2239;2241;2302;2316;2335;2534;2633;2736;2889;3043;3384;3479;3481;3575;3600;3636;3654;3655;3671;3672;3674;3678;3685;3688;3693;3696;3707;3717;3730;3791;3875;3909;3913;3915;4026;4072;4091;4155;4239;4287;4289;4323;4478;4582;4604;4739;4811;4860;4921;4958;5175;5290;5318;5411;5465;5578;5590;5592;5879;6279;6280;6281;6347;6423;6591;7007;7010;7041;7042;7045;7048;7059;7060;7094;7130;7148;7373;7402;7414;7430;7448;7525;7704;8038;8082;8174;8189;8379;8406;8502;8515;8516;8639;8654;8826;9071;9124;9158;9231;9314;9369;10205;10395;10417;10451;10457;10461;10516;10562;10580;10611;10627;10630;10631;10892;10979;11093;11117;22801;22915;23022;23075;23384;23657;29766;30835;50512;51148;51330;53841;54361;54510;54751;55604;55742;56103;56107;56121;56128;56129;56130;56131;56144;56288;57007;57045;57126;57608;58494;64065;64129;79625;79633;79812;79834;80725;83872;84059;84168;84623;84962;90102;90952;91624;91653;117583;133584;144100;151887;158326;201294;255743;340485;340706;342035;375033;375567	CX3CR1;MBP;CDHR5;SPON2;HBB;CERCAM;OLFM4;EPCAM;IGF1;MADCAM1;GLDN;VWC2;AGER;VTN;NRXN3;COL7A1;CD72;UNC13D;PKP4;COL17A1;COL16A1;ADAMTS13;TECTA;FREM1;SRCIN1;ACTN2;ITGA2B;PRKCZ;SYMPK;THBS3;PODXL2;KIRREL3;FIBP;PNN;RAC1;MAD1L1;ATXN3;CRKL;SPECC1L;RAPGEF1;CTNND1;PEAK1;DAG1;JAK2;FER;MALT1;CDH11;ITGA11;ACVR1;PIK3CA;PCDHB6;DLC1;FYN;JCAD;ARHGAP5;PCDHB15;PRKCA;CDH2;TWSG1;EFNB1;BOC;FERMT2;IL15;DLG5;CD151;IRAK1;INPPL1;MKLN1;EDA;UTRN;NEXN;LAMA3;SORBS1;CARMIL1;WNT4;DDR1;PRKG1;CSRP1;PLEKHA7;YES1;VCL;SSPN;MSN;ERBB2;THBS4;TLN1;FLNA;PARVA;TMOD3;AOC3;PPARA;ZBTB16;NCAN;TNXB;ITGB5;PCDHA4;KDR;TEK;FBLIM1;ITGAV;MMP14;MYL12A;FBLN5;CD58;FAT4;ETS1;TGFB1I1;CNN3;CDH5;ITGA8;SWAP70;ANOS1;NEDD9;ITGB1;EMILIN1;PARD3B;AJUBA;PDLIM5;JAM2;MYBPC1;MERTK;SLC7A11;IQGAP1;PALLD;VAV3;GBP1;CSF1;S1PR1;CLIC1;PNP;DUSP1;TINAGL1;PDPN;ITGB8;EPHB4;PCDHGA9;FAT1;VWA2;GPC4;PERP;S100A10;GPNMB;GLI2;LAMB2;ICAM2;ESAM;LPP;EGFR;ADGRV1;ITGA6;ACKR3;SMAD6;BMP4;PCDHGB2;PCDHB4;MUC1;SNAI2;EZR;SRPX;LAMC1;COL14A1;EPHA2;ITGA1;ISLR;ZFP36L1;ADAM12;PEAR1;PCDHB8;TNFAIP6;FN1;VCAN;NID1;FBLN1;PARD3;PDE5A;ANTXR1;TGFBR2;HMCN1;DDR2;PCDHB7;COL6A2;CD34;CLDN10;FOXJ1;ANXA3;PCDH18;COL4A6;ANXA1;TGFB2;ITPKB;POSTN;EGFLAM;ACER2;CCDC80;PHLDB2;MMRN2;PECAM1;ANXA2;OMD;KLF4;PKP2;ITGA5;ITGA10;TGFBI;PDLIM1;IL7R;KRT18;CD209;ANGPT1;SFRP2;IGF2;TNFRSF12A;MFAP4;ANGPT2;COL1A1;COL6A3;CYP1B1;FCGR2B;CD44;MPZL2;CCL2;COL8A1;ECM2;DSP;S100A8;NDNF;S100A9;COL3A1;NPNT;MMRN1;CD177
GO:0072359	circulatory system development	http://amigo.geneontology.org/amigo/term/GO:0072359	1026	185	101.63962558502341	1.8201562523982746	1.1102230246251565e-16	2.0186075033734597e-13	59;88;90;148;187;284;285;290;301;302;306;652;657;677;688;947;1000;1003;1277;1278;1281;1282;1295;1363;1399;1524;1545;1605;1634;1832;1848;1889;1901;1950;1956;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2302;2308;2321;2335;2548;2697;2702;2735;2736;2752;2828;2889;2969;3082;3399;3479;3678;3685;3688;3696;3716;3764;3791;3953;4041;4052;4086;4089;4091;4223;4323;4487;4488;4604;4629;4734;4846;4853;4881;4892;4915;5159;5175;5290;5300;5318;5333;5350;5396;5465;5469;5547;5578;5587;5787;6347;6423;6444;6591;6608;6654;6664;6667;6678;6774;6833;6926;7010;7026;7029;7042;7045;7048;7049;7060;7132;7857;7919;8038;8313;8321;8325;8463;8503;8862;8877;9241;9314;9394;9510;9734;10016;10203;10268;10269;10395;10413;10451;10457;10512;10529;10611;10630;10672;11117;11214;23118;23213;23328;26281;27077;28982;51196;51330;54361;54583;55742;57007;57158;57211;57381;57493;57608;58504;64855;79625;79633;79812;80000;81575;84168;85366;93974;116844;130497;154796;204851;221395;285590;286204	CX3CR1;IGF1;MYLK2;SCG2;FGF20;SOX11;GREB1L;ABCC8;ACTN2;DUSP6;ARHGAP22;ATP5IF1;B9D1;HDAC9;PIN1;EPHB2;FLVCR1;DDX39B;GAA;PDCD6;CRKL;EGLN1;MED1;RAPGEF1;SOS1;JAK1;HS6ST1;DAG1;SMAD4;AXIN2;ACVR1;PIK3CA;DLC1;SP1;JCAD;FGFR1;PRKCA;CDH2;AKAP13;ECE1;NEDD4;PIK3R3;SGCD;ZMPSTE24;PRKD1;HIPK1;SH3PXD2B;GTF2I;GNA13;TFDP2;WNT4;ELK3;FAM129B;AMOT;TAB2;NTRK2;ERBB2;THBS4;PARVA;CPE;PPARA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;KCNJ8;COL4A1;STAT3;FAT4;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FOXO1;FZD1;NEBL;PDLIM5;MYBPC1;FZD8;SEMA3C;SMO;CALCRL;SULF1;CRB2;RHOJ;VAV3;SASH1;S1PR1;ADGRF5;PLCE1;PDPN;ITGB8;APLN;EPHB4;PTPRB;TNFRSF1A;PRCP;GPNMB;GLI2;NOS3;MEOX2;EGFR;ANPEP;ACKR3;SMAD6;NPR1;LTBP1;BMP4;SMAD1;FGF2;SNAI2;KLF5;NRAP;TBX3;EPHA2;ADAMTS1;ZFP36L1;PRRX1;ADAM12;FN1;ACTA2;ADRA1A;MSX1;ANTXR1;TGFBR2;JPH2;SPHK1;CD34;APOLD1;FOXJ1;TGFBR3;ANXA3;ANXA1;ADGRG6;TGFB2;FLT1;NOTCH2;LEPR;GJA1;ID3;MMRN2;PECAM1;YAP1;ANXA2;KLF4;PKP2;ITGA5;FGF10;TGFBI;EGF;MYH11;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;GLI1;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;COL1A1;COL1A2;CYP1B1;OSR1;MSX2;CCL2;COL8A1;DSP;NDNF;PLN;COL3A1
GO:0001568	blood vessel development	http://amigo.geneontology.org/amigo/term/GO:0001568	654	134	64.78783151326053	2.068289628933998	1.1102230246251565e-16	2.0186075033734597e-13	59;90;187;284;285;290;301;302;306;652;657;677;688;947;1000;1003;1277;1278;1281;1282;1295;1399;1524;1545;1605;1634;1901;1950;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2308;2321;2335;2702;2752;2828;2889;2969;3082;3678;3685;3688;3696;3716;3791;3953;4041;4052;4086;4091;4223;4323;4734;4846;4881;4915;5159;5175;5290;5333;5396;5469;5547;5578;5587;5787;6347;6423;6444;6608;6654;6667;6678;6774;6833;6926;7010;7026;7042;7045;7048;7049;7060;7857;8038;8325;8463;8503;8862;8877;9241;9314;9394;9734;10016;10203;10268;10413;10451;10457;10512;10672;11117;23213;23328;28982;51330;54361;54583;55742;57007;57381;57493;57608;58504;64855;79625;79812;81575;84168;93974;116844;130497;154796;204851;221395	CX3CR1;SCG2;ABCC8;ARHGAP22;ATP5IF1;HDAC9;EPHB2;FLVCR1;PDCD6;CRKL;EGLN1;MED1;RAPGEF1;SOS1;JAK1;HS6ST1;DAG1;ACVR1;PIK3CA;SP1;JCAD;FGFR1;PRKCA;CDH2;NEDD4;PIK3R3;SGCD;PRKD1;HIPK1;GTF2I;GNA13;WNT4;ELK3;FAM129B;AMOT;NTRK2;ERBB2;THBS4;PARVA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;COL4A1;STAT3;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FOXO1;FZD8;SEMA3C;SMO;CALCRL;SULF1;RHOJ;VAV3;SASH1;S1PR1;ADGRF5;ITGB8;APLN;EPHB4;PTPRB;PRCP;GPNMB;NOS3;MEOX2;ANPEP;ACKR3;SMAD6;NPR1;LTBP1;BMP4;SMAD1;FGF2;KLF5;TBX3;EPHA2;ZFP36L1;PRRX1;ADAM12;FN1;ACTA2;ANTXR1;TGFBR2;SPHK1;CD34;APOLD1;TGFBR3;ANXA3;ANXA1;TGFB2;FLT1;LEPR;MMRN2;PECAM1;YAP1;ANXA2;KLF4;ITGA5;FGF10;TGFBI;EGF;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;COL1A1;COL1A2;CYP1B1;OSR1;CCL2;COL8A1;NDNF;COL3A1
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	400	96	39.62558502340094	2.4226771653543304	1.1102230246251565e-16	2.0186075033734597e-13	19;165;213;302;780;947;960;1277;1278;1281;1282;1288;1292;1293;1294;1295;1299;1302;1307;1308;1462;1463;1515;1545;1605;1634;1842;2113;2192;2247;2296;2331;2335;2670;3384;3655;3672;3674;3678;3685;3688;3693;3696;3791;3909;3913;3915;3990;4060;4239;4323;4353;4547;4629;4811;4921;4982;5175;5352;5360;6423;6646;6678;7042;7045;7076;7132;7148;7373;7448;8038;8174;8292;8515;8516;9509;9644;10516;10630;10631;11117;22801;23213;23461;58494;60495;64147;79625;79875;84168;90102;133584;151887;169611;255743;285590	CTSV;MADCAM1;MPO;COL9A3;ALB;COL11A2;VTN;LIPC;COL7A1;COL17A1;COL16A1;SH3PXD2A;ABCA5;ITGA2B;COLQ;KIF9;DAG1;SOAT1;ITGA11;SH3PXD2B;LAMA3;DDR1;PLTP;NCAN;TNXB;ITGB5;SPARC;KDR;ITGAV;MMP14;FBLN5;COL4A1;ETS1;PLOD2;ITGA8;ITGB1;ABCA1;EMILIN1;JAM2;TIMP1;SULF1;PDPN;ITGB8;TNFRSF1A;LAMB2;ICAM2;HPSE2;ITGA6;FGF2;LAMC1;COL14A1;ITGA1;ADAM12;FN1;VCAN;NID1;FBLN1;ANTXR1;DDR2;COL6A2;CD34;COL4A6;TGFB2;POSTN;EGFLAM;GFAP;CCDC80;PHLDB2;MTTP;PECAM1;ANXA2;LUM;ITGA5;OLFML2A;ITGA10;TGFBI;MYH11;THSD4;FOXC1;SFRP2;DCN;AEBP1;MFAP4;ADAMTS2;COL1A1;COL6A3;COL1A2;CYP1B1;CD44;COL8A1;ECM2;TNFRSF11B;NDNF;COL3A1;NPNT;FMOD
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	347	87	34.375195007800315	2.530894733259207	2.220446049250313e-16	3.364345838955766e-13	165;302;780;960;1277;1278;1281;1282;1288;1292;1293;1294;1295;1299;1302;1307;1308;1462;1463;1515;1545;1605;1634;1842;2113;2192;2247;2296;2331;2335;2670;3384;3655;3672;3674;3678;3685;3688;3693;3696;3791;3909;3913;3915;4060;4239;4323;4629;4811;4921;4982;5175;5352;6423;6678;7042;7045;7076;7132;7148;7373;7448;8038;8174;8292;8515;8516;9509;9644;10516;10630;10631;11117;22801;23213;58494;60495;64147;79625;79875;84168;90102;133584;151887;169611;255743;285590	CTSV;MADCAM1;COL9A3;COL11A2;VTN;COL7A1;COL17A1;COL16A1;SH3PXD2A;ITGA2B;COLQ;KIF9;DAG1;ITGA11;SH3PXD2B;LAMA3;DDR1;NCAN;TNXB;ITGB5;SPARC;KDR;ITGAV;MMP14;FBLN5;COL4A1;ETS1;PLOD2;ITGA8;ITGB1;EMILIN1;JAM2;TIMP1;SULF1;PDPN;ITGB8;TNFRSF1A;LAMB2;ICAM2;HPSE2;ITGA6;FGF2;LAMC1;COL14A1;ITGA1;ADAM12;FN1;VCAN;NID1;FBLN1;ANTXR1;DDR2;COL6A2;COL4A6;TGFB2;POSTN;EGFLAM;GFAP;CCDC80;PHLDB2;PECAM1;ANXA2;LUM;ITGA5;OLFML2A;ITGA10;TGFBI;MYH11;THSD4;FOXC1;SFRP2;DCN;AEBP1;MFAP4;ADAMTS2;COL1A1;COL6A3;COL1A2;CYP1B1;CD44;COL8A1;ECM2;TNFRSF11B;NDNF;COL3A1;NPNT;FMOD
GO:0048514	blood vessel morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048514	574	121	56.862714508580346	2.127932179209306	4.440892098500626e-16	5.767450009638456e-13	90;187;284;285;290;301;302;306;652;657;677;688;947;1000;1003;1281;1282;1295;1524;1545;1605;1634;1901;1950;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2321;2335;2702;2752;2828;2969;3082;3678;3685;3688;3696;3716;3791;3953;4041;4086;4223;4323;4734;4846;4881;4915;5159;5175;5290;5333;5396;5469;5547;5578;5587;5787;6347;6423;6444;6608;6654;6667;6678;6774;6833;7010;7026;7042;7045;7048;7049;7060;7857;8038;8325;8463;8503;8862;8877;9241;9314;9394;9734;10016;10203;10268;10413;10451;10457;10672;11117;23213;23328;51330;54361;54583;55742;57007;57381;57493;57608;58504;64855;79625;79812;81575;93974;116844;154796;204851;221395	CX3CR1;SCG2;ABCC8;ARHGAP22;ATP5IF1;HDAC9;EPHB2;PDCD6;EGLN1;MED1;SOS1;JAK1;HS6ST1;DAG1;ACVR1;PIK3CA;SP1;JCAD;FGFR1;PRKCA;CDH2;NEDD4;PIK3R3;SGCD;PRKD1;HIPK1;GTF2I;GNA13;WNT4;ELK3;FAM129B;AMOT;NTRK2;ERBB2;THBS4;PARVA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;COL4A1;STAT3;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FZD8;SMO;CALCRL;SULF1;RHOJ;VAV3;SASH1;S1PR1;ADGRF5;ITGB8;APLN;EPHB4;PTPRB;PRCP;GPNMB;NOS3;MEOX2;ANPEP;ACKR3;NPR1;BMP4;SMAD1;FGF2;KLF5;EPHA2;ZFP36L1;PRRX1;ADAM12;FN1;TGFBR2;SPHK1;CD34;APOLD1;TGFBR3;ANXA3;ANXA1;TGFB2;FLT1;LEPR;MMRN2;PECAM1;YAP1;ANXA2;KLF4;ITGA5;FGF10;TGFBI;EGF;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;CYP1B1;CCL2;COL8A1;NDNF;COL3A1
GO:0001944	vasculature development	http://amigo.geneontology.org/amigo/term/GO:0001944	682	136	67.5616224648986	2.0129771168633246	6.661338147750939e-16	6.728691677911532e-13	59;90;187;284;285;290;301;302;306;652;657;677;688;947;1000;1003;1277;1278;1281;1282;1295;1399;1524;1545;1605;1634;1901;1950;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2308;2321;2335;2702;2752;2828;2889;2969;3082;3678;3685;3688;3696;3716;3791;3953;4041;4052;4086;4091;4223;4323;4734;4846;4881;4915;5159;5175;5290;5333;5396;5469;5547;5578;5587;5787;6347;6423;6444;6608;6654;6667;6678;6774;6833;6926;7010;7026;7042;7045;7048;7049;7060;7857;8038;8325;8463;8503;8862;8877;9241;9314;9394;9734;10016;10203;10268;10413;10451;10457;10512;10630;10672;11117;23213;23328;27077;28982;51330;54361;54583;55742;57007;57381;57493;57608;58504;64855;79625;79812;81575;84168;93974;116844;130497;154796;204851;221395	CX3CR1;SCG2;ABCC8;ARHGAP22;ATP5IF1;B9D1;HDAC9;EPHB2;FLVCR1;PDCD6;CRKL;EGLN1;MED1;RAPGEF1;SOS1;JAK1;HS6ST1;DAG1;ACVR1;PIK3CA;SP1;JCAD;FGFR1;PRKCA;CDH2;NEDD4;PIK3R3;SGCD;PRKD1;HIPK1;GTF2I;GNA13;WNT4;ELK3;FAM129B;AMOT;NTRK2;ERBB2;THBS4;PARVA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;COL4A1;STAT3;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FOXO1;FZD8;SEMA3C;SMO;CALCRL;SULF1;RHOJ;VAV3;SASH1;S1PR1;ADGRF5;PDPN;ITGB8;APLN;EPHB4;PTPRB;PRCP;GPNMB;NOS3;MEOX2;ANPEP;ACKR3;SMAD6;NPR1;LTBP1;BMP4;SMAD1;FGF2;KLF5;TBX3;EPHA2;ZFP36L1;PRRX1;ADAM12;FN1;ACTA2;ANTXR1;TGFBR2;SPHK1;CD34;APOLD1;TGFBR3;ANXA3;ANXA1;TGFB2;FLT1;LEPR;MMRN2;PECAM1;YAP1;ANXA2;KLF4;ITGA5;FGF10;TGFBI;EGF;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;COL1A1;COL1A2;CYP1B1;OSR1;CCL2;COL8A1;NDNF;COL3A1
GO:0035239	tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	806	153	79.8455538221529	1.91619937086028	7.771561172376096e-16	6.728691677911532e-13	90;187;284;285;290;301;302;306;652;657;677;688;780;947;1000;1003;1281;1282;1295;1435;1460;1524;1545;1605;1634;1896;1901;1950;1956;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2297;2321;2335;2702;2735;2736;2752;2828;2909;2969;3082;3678;3685;3688;3696;3716;3791;3953;4041;4086;4089;4223;4323;4488;4609;4734;4846;4881;4915;5159;5175;5241;5290;5333;5396;5469;5547;5578;5587;5787;6347;6423;6444;6608;6654;6664;6667;6678;6774;6833;6926;6935;7010;7026;7042;7045;7048;7049;7060;7857;8038;8321;8323;8325;8463;8503;8862;8877;8914;9231;9241;9314;9394;9734;10016;10203;10268;10395;10413;10451;10457;10672;11019;11117;23213;23328;51330;54361;54583;55366;55742;57007;57381;57493;57608;58504;64855;79625;79633;79812;80000;80184;81575;84678;84913;93974;116844;130497;154796;157506;204851;221395;255743;348093	CX3CR1;SCG2;SOX11;GREB1L;ABCC8;ARHGAP22;CEP290;ATP5IF1;HDAC9;EPHB2;LIAS;KDM2B;CSNK2B;PDCD6;EGLN1;MED1;ARHGAP35;SOS1;JAK1;HS6ST1;DAG1;ZEB1;SMAD4;ACVR1;PIK3CA;DLC1;SP1;JCAD;FGFR1;PRKCA;CDH2;NEDD4;TIMELESS;PIK3R3;SGCD;DLG5;PRKD1;HIPK1;EDA;GTF2I;GNA13;WNT4;DDR1;ELK3;FAM129B;AMOT;LGR4;FZD6;NTRK2;ERBB2;THBS4;PARVA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;COL4A1;STAT3;FAT4;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FZD1;ATOH8;FZD8;SMO;CALCRL;SULF1;RHOJ;VAV3;SASH1;CSF1;S1PR1;ADGRF5;MYC;ITGB8;APLN;EPHB4;RDH10;PTPRB;PRCP;GPNMB;GLI2;NOS3;MEOX2;EGFR;ANPEP;ACKR3;NPR1;BMP4;SMAD1;FGF2;KLF5;TBX3;EPHA2;ZFP36L1;PRRX1;ADAM12;FN1;TGFBR2;RBPMS2;SPHK1;CD34;APOLD1;TGFBR3;ANXA3;ANXA1;PGR;TGFB2;FLT1;LEPR;MMRN2;PECAM1;YAP1;ANXA2;KLF4;ITGA5;FGF10;TGFBI;EGF;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;FOXD1;GLI1;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;CYP1B1;OSR1;MSX2;CCL2;COL8A1;NDNF;COL3A1;NPNT
GO:0072358	cardiovascular system development	http://amigo.geneontology.org/amigo/term/GO:0072358	691	137	68.45319812792512	2.0013674122861995	7.771561172376096e-16	6.728691677911532e-13	59;90;187;284;285;290;301;302;306;652;657;677;688;947;1000;1003;1277;1278;1281;1282;1295;1399;1524;1545;1605;1634;1901;1950;1969;2004;2048;2050;2064;2113;2247;2255;2260;2296;2308;2321;2335;2702;2752;2828;2889;2969;3082;3678;3685;3688;3696;3716;3791;3953;4041;4052;4086;4091;4223;4323;4734;4846;4881;4915;5159;5175;5290;5333;5396;5469;5547;5578;5587;5787;6347;6423;6444;6608;6654;6667;6678;6774;6833;6926;7010;7026;7042;7045;7048;7049;7060;7857;8038;8325;8463;8503;8862;8877;9241;9314;9394;9734;10016;10203;10268;10413;10451;10457;10512;10630;10672;11117;23213;23328;27077;28982;51330;54361;54583;55742;57007;57381;57493;57608;58504;64855;79625;79812;81575;84168;93974;116844;130497;154796;204851;221395;286204	CX3CR1;SCG2;ABCC8;ARHGAP22;ATP5IF1;B9D1;HDAC9;EPHB2;FLVCR1;PDCD6;CRKL;EGLN1;MED1;RAPGEF1;SOS1;JAK1;HS6ST1;DAG1;ACVR1;PIK3CA;SP1;JCAD;FGFR1;PRKCA;CDH2;NEDD4;PIK3R3;SGCD;PRKD1;HIPK1;GTF2I;GNA13;WNT4;ELK3;FAM129B;AMOT;NTRK2;ERBB2;THBS4;PARVA;GLUL;NR2F2;SPARC;KDR;TEK;BMPR1A;PDGFRB;ITGAV;MMP14;COL4A1;STAT3;ETS1;CDH5;LRP5;RAMP3;PLCD1;NOG;HEG1;ITGB1;EMILIN1;FOXO1;FZD8;SEMA3C;SMO;CALCRL;SULF1;CRB2;RHOJ;VAV3;SASH1;S1PR1;ADGRF5;PDPN;ITGB8;APLN;EPHB4;PTPRB;PRCP;GPNMB;NOS3;MEOX2;ANPEP;ACKR3;SMAD6;NPR1;LTBP1;BMP4;SMAD1;FGF2;KLF5;TBX3;EPHA2;ZFP36L1;PRRX1;ADAM12;FN1;ACTA2;ANTXR1;TGFBR2;SPHK1;CD34;APOLD1;TGFBR3;ANXA3;ANXA1;TGFB2;FLT1;LEPR;MMRN2;PECAM1;YAP1;ANXA2;KLF4;ITGA5;FGF10;TGFBI;EGF;GJA5;FOXC1;GPR4;TEAD2;ANGPT1;APLNR;SFRP2;DCN;TNFRSF12A;HGF;LRG1;ANGPT2;COL1A1;COL1A2;CYP1B1;OSR1;CCL2;COL8A1;NDNF;COL3A1
