userId	geneSymbol	geneName	entrezgene	gLink
CRH	CRH	corticotropin releasing hormone	1392	https://www.ncbi.nlm.nih.gov/gene/?term=1392
SST	SST	somatostatin	6750	https://www.ncbi.nlm.nih.gov/gene/?term=6750
LINC01299	LINC01299	long intergenic non-protein coding RNA 1299	286186	https://www.ncbi.nlm.nih.gov/gene/?term=286186
HBA2	HBA2	hemoglobin subunit alpha 2	3040	https://www.ncbi.nlm.nih.gov/gene/?term=3040
PNOC	PNOC	prepronociceptin	5368	https://www.ncbi.nlm.nih.gov/gene/?term=5368
KRT5	KRT5	keratin 5	3852	https://www.ncbi.nlm.nih.gov/gene/?term=3852
VGF	VGF	VGF nerve growth factor inducible	7425	https://www.ncbi.nlm.nih.gov/gene/?term=7425
HBA1	HBA1	hemoglobin subunit alpha 1	3039	https://www.ncbi.nlm.nih.gov/gene/?term=3039
PPEF1	PPEF1	protein phosphatase with EF-hand domain 1	5475	https://www.ncbi.nlm.nih.gov/gene/?term=5475
GDNF-AS1	GDNF-AS1	GDNF antisense RNA 1	100861519	https://www.ncbi.nlm.nih.gov/gene/?term=100861519
DNAH17-AS1	DNAH17-AS1	DNAH17 antisense RNA 1	100996295	https://www.ncbi.nlm.nih.gov/gene/?term=100996295
FBN3	FBN3	fibrillin 3	84467	https://www.ncbi.nlm.nih.gov/gene/?term=84467
VIP	VIP	vasoactive intestinal peptide	7432	https://www.ncbi.nlm.nih.gov/gene/?term=7432
GAD2	GAD2	glutamate decarboxylase 2	2572	https://www.ncbi.nlm.nih.gov/gene/?term=2572
PDIA2	PDIA2	protein disulfide isomerase family A member 2	64714	https://www.ncbi.nlm.nih.gov/gene/?term=64714
RPH3A	RPH3A	rabphilin 3A	22895	https://www.ncbi.nlm.nih.gov/gene/?term=22895
VAX1	VAX1	ventral anterior homeobox 1	11023	https://www.ncbi.nlm.nih.gov/gene/?term=11023
LINC02458	LINC02458	long intergenic non-protein coding RNA 2458	728084	https://www.ncbi.nlm.nih.gov/gene/?term=728084
MOBP	MOBP	myelin-associated oligodendrocyte basic protein	4336	https://www.ncbi.nlm.nih.gov/gene/?term=4336
TAC1	TAC1	tachykinin precursor 1	6863	https://www.ncbi.nlm.nih.gov/gene/?term=6863
CX3CR1	CX3CR1	C-X3-C motif chemokine receptor 1	1524	https://www.ncbi.nlm.nih.gov/gene/?term=1524
LDB3	LDB3	LIM domain binding 3	11155	https://www.ncbi.nlm.nih.gov/gene/?term=11155
MBP	MBP	myelin basic protein	4155	https://www.ncbi.nlm.nih.gov/gene/?term=4155
FFAR1	FFAR1	free fatty acid receptor 1	2864	https://www.ncbi.nlm.nih.gov/gene/?term=2864
GAD1	GAD1	glutamate decarboxylase 1	2571	https://www.ncbi.nlm.nih.gov/gene/?term=2571
CDHR5	CDHR5	cadherin related family member 5	53841	https://www.ncbi.nlm.nih.gov/gene/?term=53841
PAQR6	PAQR6	progestin and adipoQ receptor family member 6	79957	https://www.ncbi.nlm.nih.gov/gene/?term=79957
SLC32A1	SLC32A1	solute carrier family 32 member 1	140679	https://www.ncbi.nlm.nih.gov/gene/?term=140679
CMTM5	CMTM5	CKLF like MARVEL transmembrane domain containing 5	116173	https://www.ncbi.nlm.nih.gov/gene/?term=116173
PROX1-AS1	PROX1-AS1	PROX1 antisense RNA 1	100505832	https://www.ncbi.nlm.nih.gov/gene/?term=100505832
TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	58476	https://www.ncbi.nlm.nih.gov/gene/?term=58476
BTBD16	BTBD16	BTB domain containing 16	118663	https://www.ncbi.nlm.nih.gov/gene/?term=118663
DLX6-AS1	DLX6-AS1	DLX6 antisense RNA 1	285987	https://www.ncbi.nlm.nih.gov/gene/?term=285987
PRLHR	PRLHR	prolactin releasing hormone receptor	2834	https://www.ncbi.nlm.nih.gov/gene/?term=2834
IGFN1	IGFN1	immunoglobulin-like and fibronectin type III domain containing 1	91156	https://www.ncbi.nlm.nih.gov/gene/?term=91156
CARNS1	CARNS1	carnosine synthase 1	57571	https://www.ncbi.nlm.nih.gov/gene/?term=57571
PENK	PENK	proenkephalin	5179	https://www.ncbi.nlm.nih.gov/gene/?term=5179
ZNF602P	ZNF602P	zinc finger protein 602, pseudogene	100419608	https://www.ncbi.nlm.nih.gov/gene/?term=100419608
ADCYAP1	ADCYAP1	adenylate cyclase activating polypeptide 1	116	https://www.ncbi.nlm.nih.gov/gene/?term=116
NAT16	NAT16	N-acetyltransferase 16 (putative)	375607	https://www.ncbi.nlm.nih.gov/gene/?term=375607
TRIM67	TRIM67	tripartite motif containing 67	440730	https://www.ncbi.nlm.nih.gov/gene/?term=440730
