geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0090150	establishment of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0090150	313	98	37.82443297731909	2.5909178878838546	0	0	208;572;637;784;801;1869;2181;3265;3921;4118;4218;5599;5621;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;6711;9230;9349;10399;10434;10519;10952;11224;23062;23204;23499;23521;25837;25873;25945;26088;27065;27113;29928;51308;51608;54557;55750;63971;64112;84243;85377;90580;116841;130617;132112;140823;160622;285093;340481;353116;401647;100133941	MICALL1;AKT2;KIF13A;MACF1;CIB1;GGA2;RPL4;RAB8A;GGA1;GET4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;MAL;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;ROMO1;RPL29;RPS17;RAB11B;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RILPL1;ZDHHC18;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RACK1;RPL23A;RPL21;RPS13;RAB26;BID;SPTBN1;TIMM29;RTP5;BBC3;BAD;HRAS;RPL35A;CD24;RPL34;GOLGA7B;SEC61B;RPL38;E2F1;CACNB3;LYPLA1;RTP1;NECTIN3;REEP2;SNAP47;PRNP;NSG1;ACSL3;MAPK8;GRASP;ARL6IP1;SGTB;AGK;TIMM22;ZDHHC21;CALM1;MOAP1;RPS4Y1
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	187	67	22.597983919356775	2.9648662570562214	0	0	208;784;3265;3921;5621;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10519;10952;11224;23204;23521;25873;54557;84243;85377;130617;132112;285093;340481;401647	MICALL1;AKT2;CIB1;RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;ZDHHC18;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RTP5;HRAS;RPL35A;RPL34;GOLGA7B;SEC61B;RPL38;CACNB3;RTP1;PRNP;ARL6IP1;SGTB;ZDHHC21;RPS4Y1
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	58	16.555742229689187	3.503316202639915	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;23645;25873;54557;120892;130617;375056	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;MIA3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;PPP1R15A;RPL35A;RPL34;SEC61B;RPL38;LRRK2;SGTB;RPS4Y1
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	http://amigo.geneontology.org/amigo/term/GO:0000184	120	53	14.501380055202208	3.6548245614035086	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;11224;23049;23521;25873;79048	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;SMG1;RPL34;RPL38;RPS4Y1
GO:0072599	establishment of protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0072599	111	55	13.413776551062043	4.10026212906054	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;25873;54557;130617	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38;SGTB;RPS4Y1
GO:0045047	protein targeting to ER	http://amigo.geneontology.org/amigo/term/GO:0045047	107	55	12.930397215888636	4.2535429563151395	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;25873;54557;130617	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38;SGTB;RPS4Y1
GO:0006613	cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006613	99	54	11.963638545541821	4.513676988354248	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;10952;11224;23204;23521;25873;130617	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38;ARL6IP1;RPS4Y1
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006614	95	53	11.480259210368414	4.616620498614958	0	0	3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;10952;11224;23521;25873;130617	RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38;RPS4Y1
GO:0072657	protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0072657	593	143	71.66098643945757	1.9955069990672378	1.1102230246251565e-16	1.1214486129852553e-13	208;391;572;637;783;784;801;1173;1213;1741;1742;1869;2042;2181;2319;2339;2533;3265;3551;3675;3676;3683;3921;4035;4118;4218;5028;5064;5599;5621;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;6711;6769;6810;7275;7289;7429;8301;8636;9053;9135;9211;9230;9349;9693;9777;10399;10434;10519;10952;11224;23062;23167;23204;23241;23499;23521;23759;25837;25873;25945;26088;26119;27065;27113;27183;29098;29928;51308;51608;54550;54557;54585;55022;55690;55750;56246;57154;57217;63971;64112;79156;81926;84243;85377;90410;90580;116841;130617;132112;140823;160622;285093;340481;353116;401647;100133941	TTC7A;MICALL1;TULP3;PPIL2;AKT2;IKBKB;KIF13A;IFT20;ITGAL;MACF1;CIB1;RABEP1;GGA2;PLEKHF1;RHOG;RPL4;RAB8A;GGA1;PACS2;RANGRF;STX4;GET4;RPSA;RPS5;RPS9;VIL1;RPL10;RPL18A;RPLP2;MAL;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;ROMO1;LDLRAP1;RPL29;RPS17;RAB11B;RPL30;RPS29;FYB1;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RILPL1;ZDHHC18;SSNA1;RPS14;RPL12;RPS12;MAP7;RPL32;RPL37A;RPLP1;RACK1;RPL23A;RPL21;ABHD17A;RPS13;VPS4A;RAB26;STAC;BID;SPTBN1;TIMM29;FNTA;RTP5;SMURF1;ITGA3;BBC3;BAD;PICALM;HRAS;RPL35A;CD24;PALM;RPL34;PACS1;GOLGA7B;SEC61B;RPL38;P2RY1;NECAB2;E2F1;LRP1;DLG4;CACNB3;LYPLA1;ITGA4;TUB;EPHA3;RTP1;LGI1;CLTC;AP2M1;NECTIN3;REEP2;RAPGEF2;CACNB2;FLOT2;MRAP;TM9SF4;PID1;SNAP47;PRNP;EFR3A;NSG1;ACSL3;MAPK8;GRASP;ARL6IP1;SGTB;AGK;DLG3;LZTFL1;TIMM22;ZDHHC21;CALM1;MOAP1;RPS4Y1
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	192	66	23.20220808832353	2.8445568520357503	4.440892098500626e-16	4.0372150067469193e-13	1939;1967;1974;1977;2475;3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6199;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;8662;8666;9086;9349;9669;10480;11224;23521;23645;25873;27161;56339;219402	RPS6KB2;EIF5B;EIF2D;RPL4;EIF3B;EIF3G;METTL3;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;EIF2B1;MTIF3;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;PPP1R15A;RPL35A;RPL34;RPL38;MTOR;EIF4A2;EIF4E;EIF3M;EIF1AY;RPS4Y1
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	206	67	24.894035761430455	2.691407718784046	7.327471962526033e-15	6.055822510120379e-12	1655;3921;6124;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6192;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9125;9349;10767;11224;23016;23049;23404;23521;25873;26523;27161;51154;55095;57690;57819;64852;79048;80149;342977	ZC3H12A;TUT1;AGO1;RPL4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;LSM2;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;TNRC6C;RPS29;EXOSC2;EXOSC7;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;HBS1L;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;CNOT9;SMG1;RPL34;NANOS3;MRTO4;RPL38;DDX5;RPS4Y1
