geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0005975	carbohydrate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005975	569	41	21.816332653306134	1.8793259459117524	8.253068104635553e-5	0.6089593666459389	208;1118;1213;2132;2648;2805;2932;2990;3074;3098;3418;3643;4125;4952;5163;5223;5230;5256;5315;5504;5563;6518;6519;7167;7360;7915;8706;9108;9563;10447;10993;11277;22934;51301;54541;55577;55808;57462;79690;197258;221927	MAN2B1;GAL3ST4;GUSB;NAGK;AKT2;BRAT1;RPIA;PHKA2;KAT2A;PDK1;SLC2A5;SDS;MYORG;H6PD;IDH2;ST6GALNAC1;TREX1;DDIT4;INSR;FUK;GSK3B;CLTC;ALDH5A1;GCNT4;PRKAA2;HEXB;CHIT1;EXT2;HK1;PGK1;OCRL;TPI1;GOT1;PPP1R2;PGAM1;B3GALNT1;PKM;FAM3C;UGP2;SLC3A1;MTMR7
GO:0019882	antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0019882	171	17	6.5564022560902435	2.592885447839735	3.150592739533664e-4	0.6089593666459389	1173;1213;1514;1639;1780;3133;3551;5720;7454;8284;8773;10121;11127;11277;22920;51143;55860	WAS;IKBKB;HLA-E;TREX1;SNAP23;PSME1;KIF3A;CLTC;AP2M1;CTSL;DYNC1LI1;ACTR10;DYNC1I1;KIFAP3;ACTR1A;DCTN1;KDM5D
GO:0019884	antigen processing and presentation of exogenous antigen	http://amigo.geneontology.org/amigo/term/GO:0019884	129	14	4.946057842313692	2.8305370552340747	4.3129846989231613e-4	0.6089593666459389	1173;1213;1514;1639;1780;3133;3551;5720;8773;10121;11127;22920;51143;55860	IKBKB;HLA-E;SNAP23;PSME1;KIF3A;CLTC;AP2M1;CTSL;DYNC1LI1;ACTR10;DYNC1I1;KIFAP3;ACTR1A;DCTN1
GO:0002478	antigen processing and presentation of exogenous peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0002478	121	13	4.639325573022921	2.8021314295321975	7.525644597414782e-4	0.6089593666459389	1173;1213;1514;1639;1780;3133;3551;8773;10121;11127;22920;51143;55860	IKBKB;HLA-E;SNAP23;KIF3A;CLTC;AP2M1;CTSL;DYNC1LI1;ACTR10;DYNC1I1;KIFAP3;ACTR1A;DCTN1
GO:0019359	nicotinamide nucleotide biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0019359	108	12	4.140885635425417	2.8979307946444095	8.814788593114464e-4	0.6089593666459389	3098;3418;3643;5223;5230;5315;5563;7167;11277;23057;54541;65220	IDH2;TREX1;DDIT4;INSR;PRKAA2;NMNAT2;NADK;HK1;PGK1;TPI1;PGAM1;PKM
GO:0019363	pyridine nucleotide biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0019363	108	12	4.140885635425417	2.8979307946444095	8.814788593114464e-4	0.6089593666459389	3098;3418;3643;5223;5230;5315;5563;7167;11277;23057;54541;65220	IDH2;TREX1;DDIT4;INSR;PRKAA2;NMNAT2;NADK;HK1;PGK1;TPI1;PGAM1;PKM
GO:0042866	pyruvate biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0042866	80	10	3.0673226929077164	3.2601721439749607	9.378030922263525e-4	0.6089593666459389	3098;3643;5223;5230;5315;5563;7167;10993;11277;54541	SDS;TREX1;DDIT4;INSR;PRKAA2;HK1;PGK1;TPI1;PGAM1;PKM
GO:0002457	T cell antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0002457	6	3	0.2300492019680787	13.040688575899845	0.0010287451752828414	0.6089593666459389	7454;8284;11277	WAS;TREX1;KDM5D
GO:0072525	pyridine-containing compound biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0072525	111	12	4.2559102364094565	2.819608340735101	0.0011236299605446032	0.6089593666459389	3098;3418;3643;5223;5230;5315;5563;7167;11277;23057;54541;65220	IDH2;TREX1;DDIT4;INSR;PRKAA2;NMNAT2;NADK;HK1;PGK1;TPI1;PGAM1;PKM
GO:0019752	carboxylic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019752	960	56	36.8078723148926	1.521413667188315	0.0011319693452208623	0.6089593666459389	208;344;384;1201;1213;1382;1384;2181;2805;2990;3074;3098;3376;3418;3643;4942;5053;5066;5163;5188;5223;5230;5315;5563;6519;7167;7291;7352;7360;7416;7915;9056;9663;10056;10993;11277;23057;51067;51091;54511;54541;54677;55577;56474;56603;57761;60496;79587;80017;112398;123283;124454;145482;219595;283927;653308	CLN3;CARS2;APOC2;GUSB;NAGK;AKT2;SLC7A7;CRAT;EGLN2;SEPSECS;PDK1;SDS;CTPS2;TARSL2;PTGR2;IDH2;UCP3;DGLUCY;TREX1;DDIT4;INSR;CLTC;PAH;ALDH5A1;FOLH1B;ASAH2B;AASDHPPT;PRKAA2;HEXB;CYP26B1;NMNAT2;ARG2;TRIB3;GATB;NUDT7;TWIST1;CRABP2;HK1;IARS;ACSL3;PGK1;EARS2;LPIN2;TPI1;YARS2;GOT1;OAT;HMGCLL1;PGAM1;FARSB;PKM;CROT;VDAC1;UGP2;SLC3A1;PAM
