geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0016071	mRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016071	765	130	59.855994239769586	2.1718793857011107	0	0	104;904;984;1432;1655;1665;1869;2475;3921;5431;5438;5439;6050;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6294;6626;6633;6651;7936;8106;8220;8896;9092;9125;9349;9410;9733;9879;10084;10181;10291;10658;10659;10767;10891;10898;11052;11066;11129;11189;11224;22913;22938;23016;23049;23144;23283;23404;23521;25873;26097;26121;26523;27161;27254;29101;51154;51755;51759;54623;54998;55095;55599;55677;55783;56949;57690;57819;60680;64852;79048;79171;79622;79882;79899;83443;84324;84844;91746;115708;131405;146713;192669;221662;283989;342977;494115	TSEN54;XAB2;NELFE;TUT1;AGO1;ZC3H3;SAFB;POLR2I;IWS1;PABPN1;CLASRP;ZC3H14;PRPF31;SNRNP35;RPSA;PAF1;ESS2;RPS5;RPS9;RPL10;RPL18A;CHTOP;RPLP2;RPS2;RPL28;DDX46;LSM2;SNRPA;RPL18;RPL23;RBM5;PQBP1;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;CPSF4;RPL13;RPL29;YTHDC1;RPS17;SARNP;RPL30;TNRC6C;RPS29;EXOSC2;EXOSC7;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RNH1;RPL36;PRR5L;RPL19;RPS11;SART1;RPS24;RPS6;AGO2;RPL24;RBMXL1;RPL8;RPS3;DHX15;HBS1L;RBM42;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;SART3;CELF1;C9orf78;TRIM71;POLR2J;TRMT61A;RALY;SNRNP40;AGO3;AURKAIP1;SF3B5;CMTR2;SNRPD2;CDK12;RPL35A;CNOT9;SMG1;CDK11B;SSU72;CPSF6;PHF5A;RBFOX3;RBM24;RPL34;BUD31;NANOS3;MRTO4;RPL38;SNW1;CSDC2;CELF5;MAPK14;ADARB1;DDX5;CCNT1;SON;CELF3;E2F1;RNPC3;CSTF2T;SNRNP25;PPARGC1A;POLR2B;SF3A1;CELF2;MTOR
GO:0090150	establishment of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0090150	313	75	24.490099603984156	3.0624620239518614	0	0	572;637;784;1869;3265;3921;4118;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;6711;9230;9349;10399;10434;10952;11224;23521;25837;25873;25945;27113;51308;51608;84243;90580;130617;132112;140823;285093;353116;401647;100133941	GET4;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;MAL;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;ROMO1;RPL29;RPS17;RAB11B;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RILPL1;ZDHHC18;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RACK1;RPL23A;RPL21;RPS13;RAB26;BID;SPTBN1;TIMM29;RTP5;BBC3;BAD;HRAS;RPL35A;CD24;RPL34;GOLGA7B;SEC61B;RPL38;E2F1;CACNB3;LYPLA1;RTP1;NECTIN3;REEP2
GO:0006402	mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006402	308	74	24.09888395535821	3.0706816189945028	0	0	1432;1655;1869;2475;3921;6050;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9125;9349;10767;11224;23016;23049;23404;23521;25873;26523;27161;27254;51154;55095;57690;57819;64852;79048;79882;79899;131405;192669;221662;342977	TUT1;AGO1;ZC3H14;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;LSM2;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;TNRC6C;RPS29;EXOSC2;EXOSC7;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RNH1;RPL36;PRR5L;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;HBS1L;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;TRIM71;AGO3;RPL35A;CNOT9;SMG1;RBM24;RPL34;NANOS3;MRTO4;RPL38;CSDC2;MAPK14;DDX5;E2F1;MTOR
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	206	64	16.118084723388932	3.9706950979808218	0	0	1655;3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9125;9349;10767;11224;23016;23049;23404;23521;25873;26523;27161;51154;55095;57690;57819;64852;79048;342977	TUT1;AGO1;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;LSM2;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;TNRC6C;RPS29;EXOSC2;EXOSC7;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;HBS1L;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;CNOT9;SMG1;RPL34;NANOS3;MRTO4;RPL38;DDX5
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	192	54	15.022680907236289	3.594564800613497	0	0	1967;2475;3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;11224;23521;23645;25873;27161;219402	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;EIF2B1;MTIF3;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;PPP1R15A;RPL35A;RPL34;RPL38;MTOR
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	187	58	14.631465258610342	3.964059578097832	0	0	784;3265;3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;25873;84243;130617;132112;285093;401647	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;ZDHHC18;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RTP5;HRAS;RPL35A;RPL34;GOLGA7B;SEC61B;RPL38;CACNB3;RTP1
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	55	10.719308772350892	5.130927858134433	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;23645;25873;120892;130617;375056	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;MIA3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;PPP1R15A;RPL35A;RPL34;SEC61B;RPL38;LRRK2
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	http://amigo.geneontology.org/amigo/term/GO:0000184	120	51	9.38917556702268	5.431786809815952	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;11224;23049;23521;25873;79048	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;SMG1;RPL34;RPL38
GO:0072599	establishment of protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0072599	111	52	8.684987399495979	5.987343171392252	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;25873;130617	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38
GO:0045047	protein targeting to ER	http://amigo.geneontology.org/amigo/term/GO:0045047	107	52	8.372014880595223	6.211169084341495	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;9349;10952;11224;23521;25873;130617	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38
