ZNF266,GIPR,WDR45,PGBD2,MRPL47,RTN1,DEPDC4,RIMKLB,CACYBP,PRPF4,EEF2KMT,AC011477.1,SF3A3,LINC00923,AC145124.1,ABCD3,TAPBPL,FHOD1,HTRA2,TUBB,GPX3,SIAH2,AL356488.2,TMEM63C,MUC4,MAPT,CFAP20,ATP1A1,ZNF788,ZNF605,CASC2,AL133230.1,NISCH,CTXND1,PREB,CNBD2,EAPP,RAB5C,C2orf16,ZNF718,PLK3,PAX8,ZNF350.AS1,STRA6,HIST1H1E,ACOT7,TRIM2,TST,NLE1,ADAMTS15,COPS2,RNF26,RET,RRS1,SRCAP,SPRY4,AC127070.4,PDE1B,EBAG9,AC011503.2,label
0.104042867,-2.253661526,0.838894932,-1.218107373,0.316402932,3.925561162,-2.764487149,1.740862701,2.161558076,0.418185627,-1.428025162,-3.863099438,1.066566793,-2.946808706,-2.017272748,1.358156882,-0.561108707,-0.056436948,0.337854859,3.087475838,-0.039907646,0.26939689,-2.220871703,0.873829737,-2.980710258,3.655779186,0.512657584,3.418859587,-1.218107373,1.053225176,-0.779661584,-2.237132224,2.925966144,1.085660452,0.785289867,-3.169952258,0.571677762,1.914294854,-1.684566994,-1.111564125,-0.685045608,-3.30348365,-2.143313469,-2.541343598,-3.403567109,1.690183092,3.237065233,0.004623308,0.34902816,-2.563816454,1.553000964,0.378227314,-0.558045917,-0.203820454,2.219690086,0.676642943,-1.953556933,1.770796909,0.544635553,-3.708948758,control
0.668005015,-1.784677041,0.930427863,-1.027267926,0.447333653,3.842625693,-3.14476903,1.556964469,2.132113344,0.375487712,-1.443160657,-3.14476903,1.100271978,-2.434527416,-2.057717563,1.454174917,-0.348750056,-0.515612771,0.49372416,2.735089486,1.040697225,0.156163389,-2.194576746,1.067103108,-1.958187968,3.709112496,0.709770966,4.026013424,-1.35300956,1.048536303,-0.481379599,-2.384930475,2.757016007,0.515249654,0.843576243,-3.293189035,0.553548504,2.002925908,-1.811584494,-0.427565447,-1.069647149,-1.528458238,-3.14476903,-3.678851516,-2.33767759,1.71397357,3.615525784,0.427189086,0.015893058,-2.600041854,1.5974608,0.610801799,0.135623514,-0.088817896,2.345307973,0.633919608,-2.249384983,1.689321096,0.536321549,-3.334011029,control
0.907841187,-0.523417521,1.20923936,-1.06781944,0.479570073,3.461627962,-3.395097145,1.552480013,1.777278998,0.287512696,-1.928760077,-2.884271522,1.22905834,-2.835481357,-2.446016591,0.922390968,-1.05972223,0.05753241,0.607680223,3.39500009,1.095410132,0.218070487,-2.191124341,1.088846583,-2.621907257,3.442146252,0.711669937,3.162982447,-1.358215218,1.123970342,-0.391066069,-3.171953594,2.852945729,0.240293624,1.030746993,-2.353643271,0.65958216,1.882166812,-2.191124341,-1.645897291,-0.715217821,-3.934093646,-2.073341305,-2.66112797,-2.701949965,1.973989292,3.34758693,1.028750984,0.264181839,-3.682779218,1.432549703,0.398517629,-1.245274807,-0.048121318,2.156569615,0.046922231,-2.296484857,1.973212593,0.506875524,-2.029856193,control
0.619378021,-0.40682169,1.123859452,-0.814126725,0.19596627,3.465833533,-2.921581303,1.450739289,1.728475334,0.30092429,-1.778517252,-2.834569926,0.984972227,-2.578636552,-2.793747931,1.180310465,-0.614461055,-0.234971433,0.565237602,2.838466932,0.322430495,0.322430495,-1.137426433,0.94867229,-2.375037596,3.577727155,0.696680584,3.072493471,-1.321275874,1.36950061,-0.882725041,-2.457275695,2.958951684,0.306344358,1.18331347,-2.546887853,0.389293441,1.620261749,-2.611426374,-1.00867745,-0.918873555,-1.5699725,-3.016891483,-2.921581303,-2.162476154,1.705172455,3.508064859,0.436265638,0.083200806,-2.968101318,1.330802473,0.491664417,-0.906678282,-0.011208878,2.692210154,0.19998234,-1.321275874,1.736267581,0.338261961,-3.179410412,control
0.463212767,-1.648122138,1.034926761,-1.488694401,0.508509042,4.104411307,-2.864517463,1.626923958,2.194907996,0.435938349,-1.553934923,-3.098132314,1.010149756,-2.675275463,-2.516210768,1.30537253,-0.877785319,-0.159248904,0.615439753,2.941370235,1.31306981,0.301309141,-2.487223231,1.30537253,-2.304901675,3.765561079,0.667951817,3.914125218,-1.576663174,0.947685208,-0.685985018,-2.43165338,2.99436762,0.267346985,0.931907618,-3.152199535,0.599915509,1.959788253,-1.915436908,-0.936625819,-0.724451299,-1.823063588,-3.098132314,-4.250811824,-3.334521092,2.033322337,3.341049891,0.272786709,0.172036806,-2.864517463,1.527356362,0.609000581,-0.00708986,0.120743511,2.289977646,0.409477662,-1.635852046,2.035496589,0.473621783,-3.152199535,control
0.270486562,-2.385912242,0.914449518,-1.267097246,0.502189367,4.035411325,-2.40653153,1.568074962,2.199055236,0.558526737,-1.515558606,-2.981895675,1.378604626,-2.843745336,-2.427584939,1.505491476,-0.525159902,-0.772401005,0.476871559,2.811569503,1.159473826,0.405628405,-2.029237299,1.357088137,-2.640146381,3.778905191,0.832146923,4.327217524,-0.844010537,0.769784681,-0.62174073,-2.694213602,2.91332307,0.369955833,0.687347805,-2.94552803,0.951381337,1.965549982,-1.568202339,-0.964526562,-0.959612547,-2.781224979,-2.751372016,-5.58458536,-2.94552803,1.894149466,3.735416266,0.586070851,0.466326646,-2.640146381,1.808062161,0.744243883,0.378993984,-0.029689666,2.218849697,0.360835249,-2.134597814,1.923104718,0.507855104,-3.387360783,control
0.13399014,-2.075904291,1.115718269,-1.068784342,0.538255487,4.151895107,-2.75279095,1.609691088,2.377870978,0.367155249,-1.504646928,-3.353564811,0.959994025,-2.575860242,-2.549191995,1.361777824,-1.093027954,-0.195313608,0.560808372,3.154151787,0.76786071,0.422571088,-2.425578039,1.271408003,-3.353564811,3.872387482,0.712944953,3.705951741,-1.252304222,1.168223766,-0.653388666,-2.380115665,3.056706816,1.59143332,1.083534731,-3.008724324,0.672836749,1.872814174,-2.549191995,-0.64160071,-1.099181819,-1.25952447,-1.924098278,-1.96727045,-2.96790233,2.138527875,3.285926482,-0.116040427,0.229954128,-2.890941289,1.557358473,0.621156789,-0.618433651,0.003537251,2.169541811,0.580564971,-2.012390885,1.894696885,0.473796995,-3.414189432,control
0.066199094,-2.011139397,1.022519928,-1.614113158,0.318799245,3.757155338,-3.052593272,2.02570067,1.943814302,0.335824383,-1.462386722,-3.571387066,0.862282802,-2.961621494,-2.045330762,1.453019633,-0.094463973,-0.250676935,0.455392177,2.94468766,0.703610996,0.220951097,-2.19514304,1.078756486,-3.206743952,3.679560676,0.488366052,3.20944352,-1.591765859,1.080284954,-0.656864847,-1.841503,2.784928907,1.181513232,0.865601127,-3.006073256,0.492498289,2.019152054,-2.246968108,-0.887629557,-0.689943938,-1.863009205,-2.858437258,-3.206743952,-2.513596771,1.753377471,3.264657366,0.082900944,0.041690675,-1.799830304,1.422305508,0.438125561,-0.432420624,-0.167526566,2.352761774,0.738068876,-1.820449591,1.566761549,0.489055945,-2.819970977,control
0.645295383,-0.46095053,1.128519224,-0.799724264,0.235638994,3.294996571,-2.798626943,1.039800779,1.888342648,0.302108639,-1.263297003,-3.009936037,0.985562691,-3.317420737,-2.566004648,1.423677967,-0.169826114,-0.255900723,0.563730605,2.724071304,0.210115567,0.194721539,-2.24583712,0.861264974,-3.009936037,3.6017096,0.51122066,2.950083371,-1.026908225,1.155816778,-0.81926886,-2.872734915,2.592942209,0.049875093,1.062102768,-2.872734915,0.561252289,1.881959882,-2.377413478,-1.039128336,-0.596125309,-1.765611937,-3.070560659,-4.45685502,-3.358242731,1.346395645,3.594246879,0.383387288,-0.024551232,-2.707655165,1.531479634,0.545412025,-0.971776154,-0.195937258,2.450400134,0.131931687,-1.81779769,1.496063586,0.299962716,-3.591857582,control
-0.158454348,-2.36489558,0.851755549,-0.898558512,0.481304959,4.272726445,-2.952682245,1.726667339,2.416326549,0.471580409,-1.644349426,-2.770360689,1.172837934,-2.729538694,-1.870877075,1.295812997,-0.985569889,-0.484582714,0.474832445,3.116321879,0.713440222,0.414613585,-1.553965364,1.125702297,-2.581118689,3.930216658,0.851755549,3.767960016,-1.426625942,1.124007382,-0.630294525,-2.547217137,2.906821104,1.187272828,0.851755549,-3.550519246,0.788552439,1.889534397,-1.870877075,-0.493093404,-1.104227432,-1.112132612,-1.6717484,-2.284852873,-2.547217137,2.100373765,3.580597742,-0.459476793,0.158608369,-2.451906957,1.737288542,0.531630043,-0.606080267,-0.056770307,2.117164908,0.31878603,-2.210744901,2.038770229,0.545339321,-3.550519246,control
-0.00986551,-2.477380417,1.044915061,-1.209947259,0.465242031,3.892166228,-2.666622417,1.880212192,2.018205787,0.495683056,-1.209947259,-2.80015381,0.977521143,-2.753633794,-3.205618918,1.471207257,-0.291716663,-0.327223351,0.56714202,2.9937305,0.942040703,0.178771346,-2.709182031,1.037761224,-3.011462903,3.696980234,0.69201535,3.43257483,-1.249556397,1.124174131,-0.556409217,-2.900237268,2.652518297,1.4221511,0.994800191,-2.666622417,0.605794175,2.181167097,-1.784233237,-1.000489161,-0.807723645,-1.568010128,-3.072087525,-2.80015381,-2.900237268,1.796408002,3.497306234,0.486825602,0.144285169,-3.136626046,1.452414758,0.636900882,-0.217055134,-0.144232674,2.124681495,0.999073702,-2.410689043,1.881095194,0.594674124,-3.136626046,control
0.416462815,-2.230164573,1.271487694,-1.02406637,0.615486742,4.274633089,-3.035789737,1.477160727,2.453344742,0.336420107,-1.661471567,-3.084579901,1.142253844,-2.989269722,-3.035789737,0.905329643,-1.309627551,0.0087327,0.551689602,3.58326708,0.437359098,0.633858355,-2.86143635,1.409658724,-2.16828917,3.950160389,1.046578634,3.825622381,-1.27629113,1.379602591,-0.519630544,-3.682416902,3.194316687,0.87241647,1.240214787,-2.86143635,0.990411932,1.878614318,-2.273649685,-1.15305849,-1.301188682,-1.124485117,-1.776247082,-2.019869164,-3.035789737,2.821190582,3.225338377,0.013257595,0.404323061,-3.441254845,1.610430989,0.703013026,-0.420829959,0.107951948,1.846290424,0.231422634,-2.16828917,2.475909403,0.724302345,-3.135873196,control
