,gene_symbol,DE,se_DE,z_DE,pval_DE,adj_pval_DE,mu1,mu2,SIEVE_indicator,edgeR_indicator,DESeq2_indicator,voom_indicator,tweeDEseq_indicator,ALDEx2_indicator,DSS_indicator
ENSG00000147571,CRH,-1.2924824933011,0.19727625270007,-6.55163749113855,5.6909556530877e-11,5.50187989220387e-08,-2.20237922003273,-3.49486171333383,1,1,1,1,1,1,1
ENSG00000157005,SST,-0.897960029738794,0.176099280898738,-5.0991692024861,3.41147499515602e-07,6.41126333047499e-05,-0.360164479395341,-1.25812450913413,1,1,1,1,1,1,1
ENSG00000174576,NPAS4,-0.810808550809587,0.2267435457516,-3.5758837065106,0.000349046801310829,0.0189568113259794,-3.70222043400315,-4.51302898481274,1,1,1,1,0,1,1
ENSG00000254081,LINC01299,-0.793170528663951,0.164494395851352,-4.82186961178125,1.42218901478377e-06,0.000205626939889696,-1.2140727334613,-2.00724326212525,1,1,1,1,1,1,1
ENSG00000254561,AP003393.1,-0.769593962408598,0.12353778584789,-6.2296240549121,4.67555796415872e-10,3.1009001818407e-07,-1.94876427684392,-2.71835823925252,1,1,1,1,1,1,1
ENSG00000188536,HBA2,-0.767161794973835,0.151942522216539,-5.04902632773546,4.44067542087582e-07,7.9826171024992e-05,-0.352353749232912,-1.11951554420675,1,1,1,1,1,1,1
ENSG00000258844,AL162511.1,-0.766576973656715,0.147999827573248,-5.17958018077635,2.22385811663078e-07,4.52034044713553e-05,-2.1674982106526,-2.93407518430932,1,1,1,1,1,1,1
ENSG00000268518,AC020909.2,-0.748389220051402,0.135205996931575,-5.53517770687454,3.10912956242177e-08,9.11270377944533e-06,-2.2429279209728,-2.99131714102421,1,1,1,1,1,1,1
ENSG00000168081,PNOC,-0.73632434900125,0.134761669401556,-5.4639004716333,4.65784755642569e-08,1.26590521889372e-05,-2.39631106263755,-3.1326354116388,1,1,1,1,1,1,1
ENSG00000186081,KRT5,-0.717588603642739,0.188562823493833,-3.80556776965214,0.000141479268060735,0.00898448813058244,-3.0295298703461,-3.74711847398884,1,1,1,1,1,1,1
ENSG00000128564,VGF,-0.717008594185891,0.144480144695314,-4.96267909821068,6.95274039066557e-07,0.000115279043201774,0.885590627898774,0.168582033712883,1,1,1,1,1,1,1
ENSG00000012817,KDM5D,-0.710631733725794,0.483031388766718,-1.47119162491735,0.14123930148749,1,-2.41000336786182,-3.12063510158761,0,0,0,1,0,0,0
ENSG00000233864,TTTY15,-0.70708803205403,0.44245313020844,-1.59810832781524,0.110018870579601,1,-3.04280695687684,-3.74989498893087,0,0,0,1,0,0,0
ENSG00000206172,HBA1,-0.706943497214653,0.138246239848268,-5.1136544327756,3.15985192501589e-07,6.01399345042838e-05,-1.06231114049391,-1.76925463770857,1,1,1,1,1,1,1
ENSG00000280358,ENSG00000280358,-0.695659819485853,0.459029834379389,-1.51550022979746,0.129645772173225,1,-2.84316707861753,-3.53882689810339,0,0,0,1,0,0,0
ENSG00000131002,TXLNGY,-0.67813740958132,0.493364552746196,-1.3745158743299,0.169281585497361,1,-2.64035313691431,-3.31849054649563,0,0,0,1,0,0,0
ENSG00000086717,PPEF1,-0.675264284242302,0.120839376271767,-5.58811461194272,2.29548132504426e-08,7.15991190245862e-06,-1.50060346467396,-2.17586774891626,1,1,1,1,1,1,1
ENSG00000259065,AC005520.2,-0.671027790800418,0.140085127646672,-4.79014298000933,1.66662512577515e-06,0.00023536476747919,-2.6090551789503,-3.28008296975072,1,1,1,1,1,1,1
ENSG00000270021,AC026691.1,-0.670589021089452,0.11750326591736,-5.70698197921645,1.14996952032668e-08,4.04094704986737e-06,-0.449702100478535,-1.12029112156799,1,1,1,1,1,1,1
ENSG00000248587,GDNF-AS1,-0.662105286320832,0.109405514667526,-6.05184563440804,1.43195654640297e-09,7.75099313220846e-07,-2.13378880720831,-2.79589409352914,1,1,1,1,1,1,1
ENSG00000267432,DNAH17-AS1,-0.657695286539612,0.166363471995581,-3.9533635518083,7.70602159080687e-05,0.00542791410043613,-2.859494019563,-3.51718930610261,1,1,1,1,1,1,1
ENSG00000142449,FBN3,-0.644109270664832,0.0927803133113871,-6.94230540592257,3.85752122008103e-12,5.81086217710383e-09,-2.59578247050836,-3.23989174117319,1,1,1,1,1,1,1
ENSG00000146469,VIP,-0.636257780312795,0.120899565285136,-5.26269700649633,1.4195742008473e-07,3.13827635210436e-05,-0.539442118629542,-1.17569989894234,1,1,1,1,1,1,1
ENSG00000129824,RPS4Y1,-0.635510845145185,0.484548109881322,-1.3115536562527,0.189670778459354,1,-2.45822522330811,-3.09373606845329,0,0,0,1,0,0,0
ENSG00000154620,TMSB4Y,-0.632902936494462,0.362116900240941,-1.74778624271154,0.0805010483948507,1,-3.8638123208655,-4.49671525735996,0,0,0,1,0,1,0
ENSG00000279327,ENSG00000279327,-0.629038782861905,0.447421349972851,-1.40592035427025,0.159747776473132,1,-3.08942423807807,-3.71846302093997,0,0,0,1,0,0,0
ENSG00000136750,GAD2,-0.620755832106545,0.161611630453139,-3.8410344005937,0.000122516941674419,0.00795979156752276,0.8802173794095,0.259461547302955,1,1,1,1,1,1,1
ENSG00000185615,PDIA2,-0.619854988488528,0.0825616883902505,-7.5077799470211,6.01384823514566e-14,2.18178984744928e-10,0.697937666030136,0.0780826775416077,1,1,1,1,1,1,1
ENSG00000089169,RPH3A,-0.61938074429139,0.122215634074758,-5.06793381207286,4.02157186007583e-07,7.37941330084498e-05,2.33341054765326,1.71402980336187,1,1,1,1,1,1,1
