gene ID,gene_symbol,DE,se_DE,z_DE,pval_DE,adj_pval_DE,mu1,mu2,SIEVE_indicator,edgeR_indicator,DESeq2_indicator,voom_indicator,tweeDEseq_indicator,ALDEx2_indicator,DSS_indicator,Wilcoxon_indicator,NOISeq_indicator
ENSG00000147571,CRH,-1.292482493,0.197276253,-6.551637491,5.69E-11,5.50E-08,-2.20237922,-3.494861713,1,1,1,1,1,1,1,1,1
ENSG00000157005,SST,-0.89796003,0.176099281,-5.099169202,3.41E-07,6.41E-05,-0.360164479,-1.258124509,1,1,1,1,1,1,1,1,1
ENSG00000174576,NPAS4,-0.810808551,0.226743546,-3.575883707,0.000349047,0.018956811,-3.702220434,-4.513028985,1,1,1,1,0,1,1,1,1
ENSG00000254081,LINC01299,-0.793170529,0.164494396,-4.821869612,1.42E-06,0.000205627,-1.214072733,-2.007243262,1,1,1,1,1,1,1,1,1
ENSG00000254561,AP003393.1,-0.769593962,0.123537786,-6.229624055,4.68E-10,3.10E-07,-1.948764277,-2.718358239,1,1,1,1,1,1,1,1,1
ENSG00000188536,HBA2,-0.767161795,0.151942522,-5.049026328,4.44E-07,7.98E-05,-0.352353749,-1.119515544,1,1,1,1,1,1,1,1,1
ENSG00000258844,AL162511.1,-0.766576974,0.147999828,-5.179580181,2.22E-07,4.52E-05,-2.167498211,-2.934075184,1,1,1,1,1,1,1,1,1
ENSG00000268518,AC020909.2,-0.74838922,0.135205997,-5.535177707,3.11E-08,9.11E-06,-2.242927921,-2.991317141,1,1,1,1,1,1,1,1,1
ENSG00000168081,PNOC,-0.736324349,0.134761669,-5.463900472,4.66E-08,1.27E-05,-2.396311063,-3.132635412,1,1,1,1,1,1,1,1,1
ENSG00000186081,KRT5,-0.717588604,0.188562823,-3.80556777,0.000141479,0.008984488,-3.02952987,-3.747118474,1,1,1,1,1,1,1,1,1
ENSG00000128564,VGF,-0.717008594,0.144480145,-4.962679098,6.95E-07,0.000115279,0.885590628,0.168582034,1,1,1,1,1,1,1,1,1
ENSG00000012817,KDM5D,-0.710631734,0.483031389,-1.471191625,0.141239301,1,-2.410003368,-3.120635102,0,0,0,1,0,0,0,1,1
ENSG00000233864,TTTY15,-0.707088032,0.44245313,-1.598108328,0.110018871,1,-3.042806957,-3.749894989,0,0,0,1,0,0,0,1,1
ENSG00000206172,HBA1,-0.706943497,0.13824624,-5.113654433,3.16E-07,6.01E-05,-1.06231114,-1.769254638,1,1,1,1,1,1,1,1,1
ENSG00000280358,ENSG00000280358,-0.695659819,0.459029834,-1.51550023,0.129645772,1,-2.843167079,-3.538826898,0,0,0,1,0,0,0,1,1
ENSG00000131002,TXLNGY,-0.67813741,0.493364553,-1.374515874,0.169281585,1,-2.640353137,-3.318490546,0,0,0,1,0,0,0,0,1
ENSG00000086717,PPEF1,-0.675264284,0.120839376,-5.588114612,2.30E-08,7.16E-06,-1.500603465,-2.175867749,1,1,1,1,1,1,1,1,1
ENSG00000259065,AC005520.2,-0.671027791,0.140085128,-4.79014298,1.67E-06,0.000235365,-2.609055179,-3.28008297,1,1,1,1,1,1,1,1,1
ENSG00000270021,AC026691.1,-0.670589021,0.117503266,-5.706981979,1.15E-08,4.04E-06,-0.4497021,-1.120291122,1,1,1,1,1,1,1,1,1
ENSG00000248587,GDNF-AS1,-0.662105286,0.109405515,-6.051845634,1.43E-09,7.75E-07,-2.133788807,-2.795894094,1,1,1,1,1,1,1,1,1
ENSG00000267432,DNAH17-AS1,-0.657695287,0.166363472,-3.953363552,7.71E-05,0.005427914,-2.85949402,-3.517189306,1,1,1,1,1,1,1,1,1
ENSG00000142449,FBN3,-0.644109271,0.092780313,-6.942305406,3.86E-12,5.81E-09,-2.595782471,-3.239891741,1,1,1,1,1,1,1,1,1
ENSG00000146469,VIP,-0.63625778,0.120899565,-5.262697006,1.42E-07,3.14E-05,-0.539442119,-1.175699899,1,1,1,1,1,1,1,1,1
ENSG00000129824,RPS4Y1,-0.635510845,0.48454811,-1.311553656,0.189670778,1,-2.458225223,-3.093736068,0,0,0,1,0,0,0,0,1
ENSG00000154620,TMSB4Y,-0.632902936,0.3621169,-1.747786243,0.080501048,1,-3.863812321,-4.496715257,0,0,0,1,0,1,0,0,1
ENSG00000279327,ENSG00000279327,-0.629038783,0.44742135,-1.405920354,0.159747776,1,-3.089424238,-3.718463021,0,0,0,1,0,0,0,0,1
ENSG00000136750,GAD2,-0.620755832,0.16161163,-3.841034401,0.000122517,0.007959792,0.880217379,0.259461547,1,1,1,1,1,1,1,1,1
ENSG00000185615,PDIA2,-0.619854988,0.082561688,-7.507779947,6.01E-14,2.18E-10,0.697937666,0.078082678,1,1,1,1,1,1,1,1,1
ENSG00000089169,RPH3A,-0.619380744,0.122215634,-5.067933812,4.02E-07,7.38E-05,2.333410548,1.714029803,1,1,1,1,1,1,1,1,1
ENSG00000237686,AL109615.3,-0.618548618,0.091656594,-6.748544663,1.49E-11,1.78E-08,-2.66629352,-3.284842139,1,1,1,1,1,1,1,1,1
ENSG00000148704,VAX1,-0.617952305,0.104003873,-5.941627821,2.82E-09,1.29E-06,-2.40477458,-3.022726885,1,1,1,1,1,1,1,1,1
ENSG00000246363,LINC02458,-0.615562354,0.134529615,-4.575664295,4.75E-06,0.000551056,-2.232719534,-2.848281888,1,1,1,1,1,1,1,1,1
ENSG00000168314,MOBP,-0.607764685,0.127014959,-4.784985082,1.71E-06,0.000240268,3.966148475,3.35838379,1,1,1,1,1,1,1,1,1
ENSG00000272668,AL590560.2,-0.605852926,0.10056886,-6.024259668,1.70E-09,8.78E-07,-1.797822318,-2.403675245,1,1,1,1,1,1,1,1,1
ENSG00000006128,TAC1,-0.603887114,0.159688125,-3.781665763,0.000155782,0.009752562,-0.858870912,-1.462758027,1,1,1,1,1,1,1,1,1
ENSG00000273295,AP000350.6,-0.603015495,0.192208662,-3.137296145,0.001705138,0.070529124,-2.103478409,-2.706493904,1,1,1,1,1,1,1,1,1
ENSG00000176728,TTTY14,-0.600079134,0.365367966,-1.642396679,0.100507823,1,-3.848534061,-4.448613195,0,0,0,1,0,0,0,0,1
ENSG00000168329,CX3CR1,-0.598519873,0.165497189,-3.616495697,0.000298618,0.01670835,0.004495638,-0.594024235,1,1,1,1,1,1,1,1,1
ENSG00000122367,LDB3,-0.595643561,0.111804333,-5.327553466,9.95E-08,2.34E-05,0.825879816,0.230236255,1,1,1,1,1,1,1,1,1
ENSG00000197971,MBP,-0.590406002,0.128368775,-4.599296075,4.24E-06,0.000504453,6.673539043,6.083133041,1,1,1,1,1,1,1,1,1
ENSG00000126266,FFAR1,-0.587566571,0.145805266,-4.029803502,5.58E-05,0.004130823,-2.674896623,-3.262463193,1,1,1,1,1,1,1,1,1
ENSG00000128683,GAD1,-0.583058576,0.126232058,-4.618942181,3.86E-06,0.000464952,1.605375359,1.022316783,1,1,1,1,1,1,1,1,1
ENSG00000099834,CDHR5,-0.581600941,0.107382852,-5.41614354,6.09E-08,1.55E-05,-2.16727177,-2.748872711,1,1,1,1,1,1,1,1,1
ENSG00000160781,PAQR6,-0.580316017,0.104596256,-5.548152861,2.89E-08,8.57E-06,3.460843254,2.880527237,1,1,1,1,1,1,1,1,1
ENSG00000101438,SLC32A1,-0.579207176,0.157003423,-3.689137242,0.000225016,0.013246144,-0.668472866,-1.247680042,1,1,1,1,1,1,1,1,1
ENSG00000166091,CMTM5,-0.577635357,0.10701732,-5.397587591,6.75E-08,1.67E-05,1.189042773,0.611407416,1,1,1,1,1,1,1,1,1
ENSG00000230461,PROX1-AS1,-0.573882723,0.105618928,-5.433521554,5.53E-08,1.44E-05,-0.957347297,-1.53123002,1,1,1,1,1,1,1,1,1
ENSG00000078804,TP53INP2,-0.571453109,0.112368161,-5.085542937,3.67E-07,6.80E-05,3.245338342,2.673885233,1,1,1,1,1,1,1,1,1
ENSG00000114374,USP9Y,-0.57103843,0.47783144,-1.195062489,0.232062616,1,-2.503954068,-3.074992498,0,0,0,1,0,0,0,0,0
ENSG00000198692,EIF1AY,-0.569778053,0.432087061,-1.318664926,0.187281157,1,-2.964767639,-3.534545692,0,0,0,1,0,0,0,0,1
ENSG00000138152,BTBD16,-0.567508809,0.145182349,-3.908938059,9.27E-05,0.006303072,-2.048725174,-2.616233984,1,1,1,1,1,1,1,1,1
ENSG00000260197,AC010889.1,-0.563864922,0.366268856,-1.539483668,0.123686262,1,-3.820590215,-4.384455137,0,0,0,1,0,0,0,0,0
ENSG00000270171,AL359881.3,-0.560494857,0.095660901,-5.859184358,4.65E-09,1.94E-06,-2.103402965,-2.663897822,1,1,1,1,1,1,1,1,1
ENSG00000276663,AC009090.3,-0.559403199,0.113618104,-4.923539298,8.50E-07,0.000135155,-2.334317619,-2.893720817,1,1,1,1,1,1,1,1,1
ENSG00000231764,DLX6-AS1,-0.559397196,0.148704134,-3.761813343,0.000168686,0.010426013,0.112402993,-0.446994204,1,1,1,1,1,1,1,1,1
ENSG00000119973,PRLHR,-0.558798191,0.131522039,-4.248703829,2.15E-05,0.00188374,-2.490404517,-3.049202708,1,1,1,1,1,1,1,1,1
ENSG00000163395,IGFN1,-0.55790795,0.141058781,-3.955145111,7.65E-05,0.005402887,-1.814919439,-2.372827388,1,1,1,1,1,1,1,1,1
ENSG00000230202,AL450405.1,-0.557280601,0.169353932,-3.290626891,0.000999644,0.045259279,-3.436277334,-3.993557936,1,1,1,1,0,0,1,1,1
ENSG00000172508,CARNS1,-0.556328456,0.125310361,-4.43960462,9.01E-06,0.000926437,2.634890968,2.078562512,1,1,1,1,1,1,1,1,1
ENSG00000181195,PENK,-0.556251204,0.158638425,-3.506409016,0.000454197,0.023454798,-2.066665986,-2.622917191,1,1,1,1,1,1,1,1,1
ENSG00000219392,ZNF602P,-0.554865932,0.101940894,-5.443016144,5.24E-08,1.39E-05,-2.181461551,-2.736327483,1,1,1,1,1,1,1,1,1
ENSG00000265179,AP000894.2,-0.554134084,0.126534669,-4.37930638,1.19E-05,0.00115562,-2.410222998,-2.964357082,1,1,1,1,1,1,1,1,1
ENSG00000141433,ADCYAP1,-0.551354978,0.119284459,-4.622186172,3.80E-06,0.000459712,-0.38050338,-0.931858358,1,1,1,1,1,1,1,1,1
ENSG00000274922,AL139384.1,-0.550513166,0.101342211,-5.432219804,5.57E-08,1.45E-05,-2.401429453,-2.951942619,1,1,1,1,1,1,1,1,1
ENSG00000167011,NAT16,-0.550474366,0.105328234,-5.226275488,1.73E-07,3.67E-05,-2.314015629,-2.864489995,1,1,1,1,1,1,1,1,1
ENSG00000222044,AL031587.1,-0.547193613,0.115122632,-4.753136762,2.00E-06,0.000274469,-1.976832117,-2.524025729,1,1,1,1,1,1,1,1,1
ENSG00000165246,NLGN4Y,-0.546979858,0.450616713,-1.21384725,0.224806059,1,-2.790163149,-3.337143007,0,0,0,1,0,0,0,0,1
ENSG00000279449,ENSG00000279449,-0.546026112,0.387931674,-1.407531658,0.159269797,1,-3.674147774,-4.220173886,0,0,0,1,0,0,0,0,0
