,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000165138,ANKS6,-0.051418047,1,0.581166334,-0.782976963,-0.163155762,0.001252573,-1.983185199,0,0,1,1
ENSG00000140931,CMTM3,0.190787823,0.261310209,0.839867748,-0.251765926,-0.081884413,1,-1.905078806,2.91E-192,0,0,1
ENSG00000079805,DNM2,0.012467538,1,0.575697753,-0.796616514,-0.163459278,0.003929225,-1.798748911,3.75E-51,0,1,1
ENSG00000170638,TRABD,-0.078778532,1,0.694776039,-0.525380096,-0.117144411,0.13533196,-1.791500621,1.04E-55,0,0,1
ENSG00000068724,TTC7A,-0.058383599,1,0.635443961,-0.654163193,-0.156759751,0.033218779,-1.775830236,2.57E-32,0,0,1
ENSG00000257337,AC068888.1,-0.307351592,0.035043846,0.569308226,-0.81271815,-0.305650185,0.004968882,-1.750938462,2.05E-21,1,1,1
ENSG00000061273,HDAC7,0.069341682,1,0.714058073,-0.485886683,-0.113188924,0.191160813,-1.745346411,1.46E-12,0,0,1
ENSG00000276334,AL133243.2,-0.106833226,1,0.822588715,-0.281756815,-0.071454968,1,-1.737220582,1.17E-11,0,0,1
ENSG00000100365,NCF4,0.196487846,0.911204487,0.780634197,-0.357281432,-0.149349667,1,-1.71811158,6.22E-29,0,0,1
ENSG00000099338,CATSPERG,-0.239486847,0.048874086,0.597138911,-0.743861513,-0.229591393,0.008460745,-1.711936327,1.49E-25,0,0,1
ENSG00000073350,LLGL2,0.022601169,1,0.643913075,-0.635062149,-0.224984981,0.064238921,-1.699063793,5.09E-10,0,0,1
ENSG00000102871,TRADD,-0.043907877,1,0.653679194,-0.613345316,-0.129283933,0.081472702,-1.690451616,4.96E-14,0,0,1
ENSG00000166987,MBD6,-0.004242419,1,0.728860813,-0.456284758,-0.104907031,0.609824288,-1.69037037,8.36E-10,0,0,1
ENSG00000051523,CYBA,0.079158065,1,0.720603342,-0.472722752,-0.174041931,0.255678905,-1.686747442,5.59E-16,0,0,1
ENSG00000128191,DGCR8,-0.068810801,0.772795197,0.702025628,-0.510404396,-0.071415317,0.157024285,-1.684273452,4.01E-12,0,0,1
ENSG00000189343,RPS2P46,0.011410343,1,0.826265726,-0.275322269,-0.07000808,1,-1.678221339,4.75E-21,0,0,1
ENSG00000164050,PLXNB1,0.17387154,0.274450119,0.775716649,-0.366398328,-0.105118611,1,-1.657964857,5.32E-10,0,0,1
ENSG00000137185,ZSCAN9,-0.063304838,1,0.604516414,-0.726146583,-0.131431823,0.009688743,-1.655226487,1.16E-18,0,0,1
ENSG00000142327,RNPEPL1,-0.009402646,1,0.619620547,-0.69054311,-0.178140761,0.012254963,-1.654151509,5.40E-08,0,0,1
ENSG00000265399,AP005329.2,0.092710766,1,0.887444068,-0.172271899,-0.061509679,1,-1.653779026,8.19E-24,0,0,1
ENSG00000176390,CRLF3,-0.051318349,1,0.71565633,-0.482661147,-0.065388472,0.209322609,-1.648811931,4.29E-25,0,0,1
ENSG00000188603,CLN3,0.037589281,1,0.6762467,-0.564378445,-0.097626677,0.08712913,-1.647517674,5.31E-10,0,0,1
ENSG00000255737,AGAP2-AS1,0.06786251,1,0.872930726,-0.196060927,-0.061761824,1,-1.646445864,1.25E-15,0,0,1
ENSG00000004975,DVL2,-0.027118334,1,0.722348412,-0.469233231,-0.07240951,0.288991654,-1.644021401,2.92E-08,0,0,1
ENSG00000134905,CARS2,-0.061930594,1,0.655425934,-0.609495335,-0.110094967,0.043773626,-1.640941106,2.35E-23,0,0,1
ENSG00000168476,REEP4,-0.033181526,1,0.74981841,-0.415386847,-0.108672689,0.521888856,-1.636143869,9.62E-14,0,0,1
ENSG00000270195,AC016773.1,-0.289038095,0.018851312,0.785307879,-0.348669722,-0.122774081,1,-1.63461677,1.28E-13,1,0,1
ENSG00000080839,RBL1,0.112782126,0.483051993,0.929388418,-0.105646429,-0.02218923,1,-1.622121235,6.40E-12,0,0,1
ENSG00000140398,NEIL1,-0.09053894,1,0.945325857,-0.081116378,-0.018194609,1,-1.616388207,3.26E-08,0,0,1
ENSG00000241404,EGFL8,-0.024978696,1,0.736650466,-0.440947859,-0.134695029,0.378662111,-1.616262,2.97E-05,0,0,1
ENSG00000042062,RIPOR3,0.406870452,0.015142363,1.052892652,0.074358353,0.036418679,1,-1.610982526,2.58E-12,1,0,1
ENSG00000234906,APOC2,-0.114971128,1,0.641645627,-0.640151361,-0.272513941,0.030882009,-1.606132583,3.95E-08,0,0,1
ENSG00000275413,AC002553.2,-0.158251435,0.668847696,0.794175276,-0.332470647,-0.103947352,1,-1.595416301,5.91E-22,0,0,1
ENSG00000088035,ALG6,-0.091648093,0.100343114,0.884059292,-0.177784963,-0.023985747,1,-1.593466255,3.63E-14,0,0,1
ENSG00000100139,MICALL1,-0.025637542,1,0.595120343,-0.748746661,-0.224972516,0.00993285,-1.589406098,8.20E-15,0,0,1
ENSG00000258555,SPECC1L-ADORA2A,0.117103225,1,0.857425084,-0.22191747,-0.083192737,1,-1.589131636,7.65E-18,0,0,1
ENSG00000185736,ADARB2,0.03775112,1,0.748904948,-0.417145474,-0.127468801,0.528519249,-1.588172863,5.73E-15,0,0,1
