userId	geneSymbol	geneName	entrezgene	gLink
CMTM3	CMTM3	CKLF like MARVEL transmembrane domain containing 3	123920	https://www.ncbi.nlm.nih.gov/gene/?term=123920
TRABD	TRABD	TraB domain containing	80305	https://www.ncbi.nlm.nih.gov/gene/?term=80305
TTC7A	TTC7A	tetratricopeptide repeat domain 7A	57217	https://www.ncbi.nlm.nih.gov/gene/?term=57217
HDAC7	HDAC7	histone deacetylase 7	51564	https://www.ncbi.nlm.nih.gov/gene/?term=51564
NCF4	NCF4	neutrophil cytosolic factor 4	4689	https://www.ncbi.nlm.nih.gov/gene/?term=4689
CATSPERG	CATSPERG	cation channel sperm associated auxiliary subunit gamma	57828	https://www.ncbi.nlm.nih.gov/gene/?term=57828
LLGL2	LLGL2	LLGL scribble cell polarity complex component 2	3993	https://www.ncbi.nlm.nih.gov/gene/?term=3993
TRADD	TRADD	TNFRSF1A associated via death domain	8717	https://www.ncbi.nlm.nih.gov/gene/?term=8717
MBD6	MBD6	methyl-CpG binding domain protein 6	114785	https://www.ncbi.nlm.nih.gov/gene/?term=114785
CYBA	CYBA	cytochrome b-245 alpha chain	1535	https://www.ncbi.nlm.nih.gov/gene/?term=1535
DGCR8	DGCR8	DGCR8, microprocessor complex subunit	54487	https://www.ncbi.nlm.nih.gov/gene/?term=54487
RPS2P46	RPS2P46	ribosomal protein S2 pseudogene 46	125208	https://www.ncbi.nlm.nih.gov/gene/?term=125208
PLXNB1	PLXNB1	plexin B1	5364	https://www.ncbi.nlm.nih.gov/gene/?term=5364
ZSCAN9	ZSCAN9	zinc finger and SCAN domain containing 9	7746	https://www.ncbi.nlm.nih.gov/gene/?term=7746
RNPEPL1	RNPEPL1	arginyl aminopeptidase like 1	57140	https://www.ncbi.nlm.nih.gov/gene/?term=57140
CRLF3	CRLF3	cytokine receptor like factor 3	51379	https://www.ncbi.nlm.nih.gov/gene/?term=51379
CLN3	CLN3	CLN3, battenin	1201	https://www.ncbi.nlm.nih.gov/gene/?term=1201
AGAP2-AS1	AGAP2-AS1	AGAP2 antisense RNA 1	100130776	https://www.ncbi.nlm.nih.gov/gene/?term=100130776
DVL2	DVL2	dishevelled segment polarity protein 2	1856	https://www.ncbi.nlm.nih.gov/gene/?term=1856
CARS2	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	79587	https://www.ncbi.nlm.nih.gov/gene/?term=79587
REEP4	REEP4	receptor accessory protein 4	80346	https://www.ncbi.nlm.nih.gov/gene/?term=80346
RBL1	RBL1	RB transcriptional corepressor like 1	5933	https://www.ncbi.nlm.nih.gov/gene/?term=5933
NEIL1	NEIL1	nei like DNA glycosylase 1	79661	https://www.ncbi.nlm.nih.gov/gene/?term=79661
EGFL8	EGFL8	EGF like domain multiple 8	80864	https://www.ncbi.nlm.nih.gov/gene/?term=80864
APOC2	APOC2	apolipoprotein C2	344	https://www.ncbi.nlm.nih.gov/gene/?term=344
ALG6	ALG6	ALG6, alpha-1,3-glucosyltransferase	29929	https://www.ncbi.nlm.nih.gov/gene/?term=29929
