userId	geneSymbol	geneName	entrezgene	gLink
MIIP	MIIP	migration and invasion inhibitory protein	60672	https://www.ncbi.nlm.nih.gov/gene/?term=60672
RTL8A	RTL8A	retrotransposon Gag like 8A	26071	https://www.ncbi.nlm.nih.gov/gene/?term=26071
TSEN54	TSEN54	tRNA splicing endonuclease subunit 54	283989	https://www.ncbi.nlm.nih.gov/gene/?term=283989
GJC2	GJC2	gap junction protein gamma 2	57165	https://www.ncbi.nlm.nih.gov/gene/?term=57165
XAB2	XAB2	XPA binding protein 2	56949	https://www.ncbi.nlm.nih.gov/gene/?term=56949
SYNGR2	SYNGR2	synaptogyrin 2	9144	https://www.ncbi.nlm.nih.gov/gene/?term=9144
SEMA4C	SEMA4C	semaphorin 4C	54910	https://www.ncbi.nlm.nih.gov/gene/?term=54910
SMIM5	SMIM5	small integral membrane protein 5	643008	https://www.ncbi.nlm.nih.gov/gene/?term=643008
SCAMP4	SCAMP4	secretory carrier membrane protein 4	113178	https://www.ncbi.nlm.nih.gov/gene/?term=113178
KIAA0355	KIAA0355	KIAA0355	9710	https://www.ncbi.nlm.nih.gov/gene/?term=9710
NELFE	NELFE	negative elongation factor complex member E	7936	https://www.ncbi.nlm.nih.gov/gene/?term=7936
TIAF1	TIAF1	TGFB1-induced anti-apoptotic factor 1	9220	https://www.ncbi.nlm.nih.gov/gene/?term=9220
SPAG17	SPAG17	sperm associated antigen 17	200162	https://www.ncbi.nlm.nih.gov/gene/?term=200162
VRK2	VRK2	VRK serine/threonine kinase 2	7444	https://www.ncbi.nlm.nih.gov/gene/?term=7444
H2AFJ	H2AFJ	H2A histone family member J	55766	https://www.ncbi.nlm.nih.gov/gene/?term=55766
HIPK2	HIPK2	homeodomain interacting protein kinase 2	28996	https://www.ncbi.nlm.nih.gov/gene/?term=28996
PFKFB4	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	5210	https://www.ncbi.nlm.nih.gov/gene/?term=5210
TUT1	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific	64852	https://www.ncbi.nlm.nih.gov/gene/?term=64852
CACFD1	CACFD1	calcium channel flower domain containing 1	11094	https://www.ncbi.nlm.nih.gov/gene/?term=11094
SRA1	SRA1	steroid receptor RNA activator 1	10011	https://www.ncbi.nlm.nih.gov/gene/?term=10011
VWA1	VWA1	von Willebrand factor A domain containing 1	64856	https://www.ncbi.nlm.nih.gov/gene/?term=64856
CADM4	CADM4	cell adhesion molecule 4	199731	https://www.ncbi.nlm.nih.gov/gene/?term=199731
STARD5	STARD5	StAR related lipid transfer domain containing 5	80765	https://www.ncbi.nlm.nih.gov/gene/?term=80765
PLEKHF1	PLEKHF1	pleckstrin homology and FYVE domain containing 1	79156	https://www.ncbi.nlm.nih.gov/gene/?term=79156
NUDT17	NUDT17	nudix hydrolase 17	200035	https://www.ncbi.nlm.nih.gov/gene/?term=200035
CUX1	CUX1	cut like homeobox 1	1523	https://www.ncbi.nlm.nih.gov/gene/?term=1523
PLEKHB1	PLEKHB1	pleckstrin homology domain containing B1	58473	https://www.ncbi.nlm.nih.gov/gene/?term=58473
AK2	AK2	adenylate kinase 2	204	https://www.ncbi.nlm.nih.gov/gene/?term=204
NUMA1	NUMA1	nuclear mitotic apparatus protein 1	4926	https://www.ncbi.nlm.nih.gov/gene/?term=4926
DDX56	DDX56	DEAD-box helicase 56	54606	https://www.ncbi.nlm.nih.gov/gene/?term=54606
ARHGEF37	ARHGEF37	Rho guanine nucleotide exchange factor 37	389337	https://www.ncbi.nlm.nih.gov/gene/?term=389337
KIAA2013	KIAA2013	KIAA2013	90231	https://www.ncbi.nlm.nih.gov/gene/?term=90231
SHARPIN	SHARPIN	SHANK associated RH domain interactor	81858	https://www.ncbi.nlm.nih.gov/gene/?term=81858
AGO1	AGO1	argonaute RISC catalytic component 1	26523	https://www.ncbi.nlm.nih.gov/gene/?term=26523
ZC3H3	ZC3H3	zinc finger CCCH-type containing 3	23144	https://www.ncbi.nlm.nih.gov/gene/?term=23144
RHOG	RHOG	ras homolog family member G	391	https://www.ncbi.nlm.nih.gov/gene/?term=391
ANKRD13A	ANKRD13A	ankyrin repeat domain 13A	88455	https://www.ncbi.nlm.nih.gov/gene/?term=88455
JOSD2	JOSD2	Josephin domain containing 2	126119	https://www.ncbi.nlm.nih.gov/gene/?term=126119
XPO6	XPO6	exportin 6	23214	https://www.ncbi.nlm.nih.gov/gene/?term=23214
TNS1	TNS1	tensin 1	7145	https://www.ncbi.nlm.nih.gov/gene/?term=7145
ZCWPW1	ZCWPW1	zinc finger CW-type and PWWP domain containing 1	55063	https://www.ncbi.nlm.nih.gov/gene/?term=55063
IL16	IL16	interleukin 16	3603	https://www.ncbi.nlm.nih.gov/gene/?term=3603
